"frame","MMGBSA dG Bind","MMGBSA dG Bind Coulomb","MMGBSA dG Bind Covalent","MMGBSA dG Bind Hbond","MMGBSA dG Bind Lipo","MMGBSA dG Bind Packing","MMGBSA dG Bind SelfCont","MMGBSA dG Bind Solv GB","MMGBSA dG Bind vdW"
1801,,,,,,,,,
1801,-14.89,44.98,-19.42,0.16,-1.36,-1.28,-0.38,-31.35,-6.25
1801,-19.83,18.60,-3.00,-5.80,-2.60,-2.47,0.20,1.11,-25.87
1801,-12.02,42.11,16.38,-2.34,-7.47,2.40,0.13,-31.49,-31.75
1801,-1.67,78.37,-23.83,0.70,0.88,0.15,-1.15,-54.48,-2.33
1801,-0.86,71.42,-0.26,-0.96,-2.04,-1.20,-0.89,-47.74,-19.18
1801,-3.66,97.41,-11.75,1.85,-6.28,-0.30,-0.58,-56.31,-27.71
1801,-15.95,62.01,15.91,-1.43,-9.60,1.12,0.95,-56.50,-28.42
1801,0.11,66.93,-2.53,-2.76,-0.42,-0.99,1.02,-35.69,-25.45
1801,6.58,60.09,-8.87,-0.89,0.75,0.54,-0.29,-25.37,-19.37
1801,-10.27,-23.06,25.56,-5.27,-0.21,0.60,-0.05,12.36,-20.19
1801,-24.14,52.26,13.23,-3.61,-6.60,-2.09,0.10,-12.40,-65.03
1801,1.36,52.20,-4.20,-0.13,0.27,1.75,0.52,-35.42,-13.63
1801,-9.77,58.24,13.65,2.16,-3.89,0.58,0.33,-50.05,-30.79
1801,-27.91,48.91,9.25,-5.81,-7.84,-3.31,-0.04,-38.98,-30.09
1801,-17.53,23.97,1.77,-1.14,0.23,-0.31,-3.19,-33.93,-4.92
1801,-29.74,75.81,30.24,-5.18,-12.39,-1.01,1.69,-63.19,-55.71
1801,-40.47,24.63,11.08,-7.26,-8.89,-1.29,2.97,-24.10,-37.61
1801,-7.33,76.81,1.25,-1.99,-5.06,-3.72,-0.18,-45.01,-29.43
1801,-2.41,102.16,-7.93,1.12,-1.50,-0.89,0.46,-64.97,-30.85
1801,-7.10,53.45,-2.75,-2.95,-5.89,-3.54,0.06,-18.58,-26.90
1801,-5.32,89.82,-21.56,4.59,0.24,0.23,0.51,-74.32,-4.82
1801,-17.01,46.53,-3.02,-2.87,1.44,-1.34,1.20,-44.71,-14.24
1801,-1.17,58.98,0.68,-1.72,-4.68,-2.76,0.27,-32.76,-19.18
1801,17.77,129.50,-9.78,1.69,-2.72,0.43,0.26,-85.01,-16.61
1801,-2.16,37.73,-3.31,-2.21,-0.40,-2.54,0.27,-14.70,-17.00
1801,-20.68,50.48,8.93,-1.57,-4.44,-3.88,0.05,-50.42,-19.85
1801,12.77,94.49,5.08,0.53,-8.54,-3.02,0.83,-47.77,-28.82
1801,-17.20,37.30,14.48,-4.02,-5.55,-0.98,0.09,-26.12,-32.39
1801,-34.00,23.78,8.29,-1.95,-4.45,-0.23,-0.66,-26.96,-31.83
1801,-12.14,75.78,13.11,-3.79,-5.97,-1.03,0.30,-41.72,-48.83
1801,-28.40,18.50,13.50,-4.23,-4.95,2.31,0.36,-25.96,-27.93
1801,-6.32,74.50,3.05,-1.21,-3.48,-0.91,-0.13,-54.42,-23.72
1801,-7.93,65.78,6.06,0.55,-4.12,1.40,-0.01,-41.65,-35.94
1801,-13.86,72.56,2.29,-1.31,-8.07,-0.14,-0.15,-47.12,-31.91
1801,-1.20,107.56,-11.36,-2.27,-4.42,-2.01,-0.68,-71.61,-16.42
1801,-22.23,69.53,5.08,-2.80,-12.37,-1.15,0.60,-42.95,-38.18
1801,-12.32,38.16,12.78,-3.24,-8.81,-2.42,0.27,-12.83,-36.23
1801,-1.32,44.78,2.70,-1.39,-2.17,-0.01,0.15,-30.32,-15.06
1801,-31.20,53.12,11.61,-5.13,-7.69,0.55,0.16,-47.87,-35.95
1801,-0.28,104.20,7.97,0.04,-6.30,-0.29,0.03,-77.69,-28.24
1801,-19.65,81.06,3.19,-0.77,-8.41,-2.05,-0.16,-56.52,-35.99
1801,-16.00,30.34,13.91,-3.92,-7.53,-1.49,-0.18,-18.50,-28.64
1801,-6.71,88.47,-11.19,2.42,-4.26,-0.43,-0.01,-62.61,-19.10
1801,-6.94,83.45,7.06,-1.05,-8.09,-0.97,0.03,-49.86,-37.51
1801,-6.18,113.59,-7.65,1.13,-9.48,-0.80,4.45,-81.76,-25.65
1801,-36.57,49.66,-2.05,-2.23,-6.51,-0.85,-0.17,-49.52,-24.92
1801,-12.40,80.18,6.20,-3.77,-2.68,-0.95,0.11,-70.45,-21.04
1801,-4.06,88.21,-11.84,1.08,-7.15,-2.59,0.53,-45.99,-26.30
1801,-30.16,35.56,2.11,-2.63,-8.60,-1.86,0.37,-20.02,-35.09
1801,-32.54,26.67,-2.43,-4.71,-7.33,-3.24,-0.03,-17.45,-24.01
1801,-32.54,29.19,5.27,-5.37,-8.95,-2.18,0.14,-19.18,-31.46
1801,-23.45,32.66,5.92,-1.99,-6.82,-3.17,0.22,-16.48,-33.79
1801,-40.23,38.31,24.16,-6.85,-12.73,-2.88,0.45,-46.83,-33.85
1801,-58.49,-4.40,44.62,-7.49,-19.83,-2.34,0.94,2.69,-72.68
1801,-23.68,55.03,9.59,-2.77,-10.07,-1.69,0.14,-45.76,-28.15
1801,-9.19,64.12,-2.45,-0.92,-1.39,-0.84,-0.32,-38.75,-28.65
1801,-23.73,37.37,15.52,-3.84,-7.59,-0.61,1.07,-29.72,-35.93
1801,-14.64,53.95,0.08,0.03,-4.70,-0.92,0.42,-42.49,-21.01
1801,-18.58,46.52,12.02,-6.34,-5.25,-1.65,0.15,-28.95,-35.07
1801,-22.80,53.05,8.34,-3.17,-6.11,0.53,0.99,-45.61,-30.84
1801,-23.07,54.59,5.02,-1.73,-12.44,-1.89,-3.72,-29.61,-33.29
1801,-26.51,-30.81,9.75,-3.40,-2.20,-1.58,-0.09,26.29,-24.48
1801,-9.22,-3.06,-4.88,0.37,2.28,0.99,-0.14,-11.31,6.53
1801,-20.07,75.90,6.43,-2.20,-4.02,-0.05,0.75,-63.04,-33.84
1801,-78.40,2.20,18.16,-7.93,-14.80,-1.86,0.34,-31.27,-43.24
1801,-20.00,45.75,13.04,-2.66,-3.57,-0.21,0.47,-35.12,-37.72
1801,-20.10,80.92,-21.51,-0.42,-4.11,0.90,-0.31,-42.15,-33.43
