r,g(r),Integral[g(r)]
0.0,0.0,0.0
0.1,0.0,0.0
0.2,0.0,0.0
0.3,0.0,0.0
0.4,0.0,0.0
0.5,0.0,0.0
0.6,0.0,0.0
0.7,0.0,0.0
0.8,0.0,0.0
0.9,0.0,0.0
1.0,0.0,0.0
1.1,0.0,0.0
1.2,0.0,0.0
1.3,0.0,0.0
1.4,0.0,0.0
1.5,0.0,0.0
1.6,0.0,0.0
1.7,0.0,0.0
1.8,0.0,0.0
1.9,0.0,0.0
2.0,0.0,0.0
2.1,0.0,0.0
2.2,0.0,0.0
2.3,0.0,0.0
2.4,0.0,0.0
2.5,0.0,0.0
2.6,0.0,0.0
2.7,0.0,0.0
2.8,0.0,0.0
2.9,0.0,0.0
3.0,0.002211,6e-06
3.1,0.008272,3.2e-05
3.2,0.034899,0.000146
3.3,0.203994,0.000854
3.4,0.58628,0.003019
3.5,1.68099,0.009601
3.6,2.865361,0.021481
3.7,3.327132,0.036063
3.8,4.424378,0.056532
3.9,6.089934,0.086228
4.0,6.753452,0.120892
4.1,7.620461,0.162013
4.2,9.240464,0.214367
4.3,11.929455,0.285253
4.4,14.194476,0.373614
4.5,16.473489,0.48093
4.6,19.548947,0.61407
4.7,22.356365,0.773095
4.8,23.740925,0.94931
4.9,24.232819,1.136829
5.0,24.304016,1.332734
5.1,23.258251,1.527861
5.2,21.750134,1.717633
5.3,21.270806,1.9105
5.4,21.615699,2.114032
5.5,22.162794,2.330589
5.6,21.623066,2.549696
5.7,20.55466,2.765551
5.8,20.00772,2.983165
5.9,19.997432,3.208297
6.0,20.174342,3.443253
6.1,20.463813,3.689658
6.2,20.676635,3.946924
6.3,20.416775,4.209285
6.4,20.103257,4.475949
6.5,19.660479,4.745019
6.6,18.860262,5.011203
6.7,18.205949,5.276057
6.8,17.167179,5.533367
6.9,16.415809,5.786759
7.0,15.734518,6.036778
7.1,14.818682,6.27907
7.2,14.079286,6.515848
7.3,13.011295,6.740829
7.4,12.314918,6.959684
7.5,11.841643,7.175892
7.6,11.396044,7.389589
7.7,10.876178,7.598975
7.8,10.349385,7.803462
7.9,9.939087,8.004943
8.0,9.511325,8.202696
8.1,9.189499,8.398595
8.2,8.992604,8.595089
8.3,8.91387,8.794671
8.4,8.879906,8.998342
8.5,8.974111,9.209133
8.6,9.204152,9.430475
8.7,9.500158,9.66431
8.8,9.541076,9.904614
8.9,9.696867,10.154456
9.0,9.798437,10.412652
9.1,9.873443,10.678671
9.2,9.817605,10.949063
9.3,9.726782,11.222842
9.4,9.78789,11.504329
9.5,9.852649,11.793772
9.6,9.797382,12.087715
9.7,9.952189,12.392589
9.8,10.025958,12.70612
9.9,10.148237,13.030019
10.0,10.398468,13.368677
10.1,10.663258,13.722975
10.2,10.946085,14.093943
10.3,11.156384,14.479525
10.4,11.259924,14.876316
10.5,11.333867,15.283468
10.6,11.295306,15.697038
10.7,11.375437,16.121475
10.8,11.276,16.550139
10.9,11.138893,16.981506
11.0,11.026873,17.416443
11.1,10.655499,17.844443
11.2,10.504536,18.274051
11.3,10.118413,18.695323
11.4,9.981525,19.118316
11.5,9.709466,19.537063
11.6,9.541633,19.955791
11.7,9.297872,20.370918
11.8,9.133596,20.785741
11.9,8.952006,21.199266
12.0,8.81507,21.613367
