r,g(r),Integral[g(r)]
0.0,0.0,0.0
0.1,0.0,0.0
0.2,0.0,0.0
0.3,0.0,0.0
0.4,0.0,0.0
0.5,0.0,0.0
0.6,0.0,0.0
0.7,0.0,0.0
0.8,0.0,0.0
0.9,0.0,0.0
1.0,0.0,0.0
1.1,0.0,0.0
1.2,0.0,0.0
1.3,0.0,0.0
1.4,0.0,0.0
1.5,0.0,0.0
1.6,0.0,0.0
1.7,0.0,0.0
1.8,0.0,0.0
1.9,0.0,0.0
2.0,0.0,0.0
2.1,0.0,0.0
2.2,0.0,0.0
2.3,0.0,0.0
2.4,0.0,0.0
2.5,0.0,0.0
2.6,0.0,0.0
2.7,0.0,0.0
2.8,0.022421,7e-05
2.9,0.114814,0.000457
3.0,0.366024,0.001779
3.1,0.731706,0.004603
3.2,1.232829,0.009678
3.3,1.918377,0.018085
3.4,2.231863,0.028477
3.5,2.62435,0.041437
3.6,5.077315,0.067985
3.7,6.755746,0.105327
3.8,7.521668,0.149211
3.9,8.723718,0.202859
4.0,10.256286,0.269251
4.1,12.753351,0.35604
4.2,14.287622,0.458131
4.3,14.745059,0.568628
4.4,15.623966,0.691286
4.5,16.282647,0.82506
4.6,16.930984,0.970482
4.7,17.500688,1.127477
4.8,17.704609,1.293206
4.9,17.019663,1.459302
5.0,17.509534,1.637296
5.1,17.927219,1.826975
5.2,18.268522,2.027995
5.3,18.566226,2.240302
5.4,18.389016,2.458668
5.5,18.699089,2.689095
5.6,19.009288,2.93202
5.7,18.861044,3.181814
5.8,18.664266,3.437829
5.9,18.354779,3.698432
6.0,17.781329,3.959598
6.1,17.622623,4.227206
6.2,17.588045,4.503191
6.3,17.3023,4.783593
6.4,16.795291,5.064558
6.5,16.017979,5.341025
6.6,15.382427,5.614819
6.7,14.701428,5.884543
6.8,14.092546,6.15093
6.9,13.347743,6.410769
7.0,12.952112,6.670322
7.1,12.699146,6.932181
7.2,12.407305,7.195332
7.3,12.137685,7.460015
7.4,11.661007,7.721367
7.5,11.072256,7.976322
7.6,10.542909,8.225648
7.7,9.942689,8.46705
7.8,9.621213,8.706794
7.9,9.281337,8.944075
8.0,9.227163,9.18602
8.1,9.06252,9.429663
8.2,8.908236,9.675146
8.3,8.827062,9.924397
8.4,8.770302,10.178085
8.5,8.562425,10.431729
8.6,8.427099,10.687307
8.7,8.314161,10.945392
8.8,8.36141,11.21098
8.9,8.44988,11.485548
9.0,8.700176,11.774673
9.1,8.856955,12.075623
9.2,9.144306,12.393241
9.3,9.485603,12.729955
9.4,9.958259,13.091131
9.5,10.416485,13.47705
9.6,10.938433,13.89093
9.7,11.133686,14.321065
9.8,11.276494,14.765794
9.9,11.435206,15.22608
10.0,11.401529,15.694377
10.1,11.379513,16.171211
10.2,11.162271,16.648296
10.3,11.090569,17.131704
10.4,11.007215,17.620884
10.5,11.007861,18.119593
10.6,10.997908,18.627432
10.7,11.01052,19.145538
10.8,10.809772,19.663794
10.9,10.756612,20.189141
11.0,10.599329,20.716392
11.1,10.395261,21.24298
11.2,10.174562,21.767759
11.3,9.98683,22.292136
11.4,9.765084,22.814025
11.5,9.582696,23.335231
11.6,9.31134,23.850563
11.7,9.148516,24.365688
11.8,8.86888,24.873678
11.9,8.731903,25.382372
12.0,8.616062,25.892824
