Frame,Time (ns),Radius of Gyration 1 (2662 atoms)
1,0.0,18.065013387058663
2,0.1,18.308774770170764
3,0.2,18.571760455619263
4,0.3,18.50938717383291
5,0.4,18.670596205735148
6,0.5,18.607293777495645
7,0.6,18.6471215364813
8,0.7,18.707139570687076
9,0.8,19.037705704379484
10,0.9,19.0411076272163
11,1.0,18.74118487528786
12,1.1,18.795304893077457
13,1.2,18.585139201800132
14,1.3,18.54083495892007
15,1.4,18.7772418588375
16,1.5,18.932457966681856
17,1.6,18.872532847135826
18,1.7,18.878219544844875
19,1.8,19.03455400575117
20,1.9,18.949657143832987
21,2.0,18.674765095391624
22,2.1,18.646390348607337
23,2.2,18.70645023326319
24,2.3,19.119175072238203
25,2.4,18.983408433910462
26,2.5001,18.67966224687511
27,2.6001,18.8255303523008
28,2.7001,18.678576487005845
29,2.8001,18.650445902640595
30,2.9001,18.39842135300408
31,3.0001,18.704346310668768
32,3.1001,18.57721653152434
33,3.2001,18.53994410530986
34,3.3001,18.525447884842656
35,3.4001,18.617149242714714
36,3.5001,19.12936298007091
37,3.6001,18.849387177950813
38,3.7001,18.73374336820138
39,3.8001,18.919900803960587
40,3.9001,18.825715068797965
41,4.0001,18.935732328940574
42,4.1001,18.605661055787564
43,4.2001,18.579405287747665
44,4.3001,18.67974117948315
45,4.4001,18.716482640797356
46,4.5001,18.461758023578202
47,4.6001,18.610481460605424
48,4.7001,18.51043129089183
49,4.8001,18.52384404056536
50,4.9001,18.47933851898727
51,5.0001,18.19713649170162
52,5.1001,18.492762093306567
53,5.2001,18.850987575363273
54,5.3001,18.888609029208908
55,5.4001,18.848102520604193
56,5.5001,18.866828077943808
57,5.6001,18.835896342402755
58,5.7001,19.046556088502285
59,5.8001,18.845614987389656
60,5.9001,18.825778415834446
61,6.0001,18.72087381673481
62,6.1001,18.550456323230005
63,6.2001,18.60240511446618
64,6.3001,18.651440187894497
65,6.4001,19.15827741196769
66,6.5001,19.145991319442835
67,6.6001,18.986874218813355
68,6.7001,18.919812191504572
69,6.8001,19.08300912071357
70,6.9001,19.013799357468027
71,7.0001,19.195458669420457
72,7.1001,18.669561170553727
73,7.2001,18.72290199590107
74,7.3001,18.716848980576895
75,7.4001,18.73356810848827
76,7.5002,18.83227484274701
77,7.6002,18.547674208749623
78,7.7002,18.913367938792522
79,7.8002,19.089693493545926
80,7.9002,18.91255121598248
81,8.0002,19.080847175758567
82,8.1002,18.999585898163843
83,8.2002,18.455939730966282
84,8.3002,18.58798626172492
85,8.4002,18.502741241504978
86,8.5002,18.674936427589355
87,8.6002,18.277005726702644
88,8.7002,18.31585821447766
89,8.8002,18.48382827668803
90,8.9002,18.223688047219458
91,9.0002,18.51334238042758
92,9.1002,18.275941402130144
93,9.2002,18.526371111276696
94,9.3002,18.402775165755557
95,9.4002,18.759061698890722
96,9.5002,18.431227359136734
97,9.6002,18.36661741871817
98,9.7002,18.746430216396767
99,9.8002,18.321880795108584
100,9.9002,18.156301975669997
101,10.0002,18.544630793754855
102,10.1002,18.46711118856767
103,10.2002,18.50212798127477
104,10.3002,18.60305317410621
105,10.4002,18.20355152399374
106,10.5002,18.249535824621027
107,10.6002,18.389443317541545
108,10.7002,18.264009309947706
109,10.8002,18.15669008738341
110,10.9002,17.951620256251665
111,11.0002,18.354195876953725
112,11.1002,18.315013891892054
113,11.2002,17.972732335314234
114,11.3002,18.403980469703804
115,11.4002,18.141490833857052
116,11.5002,18.25084117434716
117,11.6002,18.095040317609698
118,11.7002,18.24033513163055
119,11.8002,18.320083497803324
120,11.9002,18.1249685599845
121,12.0002,18.10020323181607
122,12.1002,18.161470351887875
123,12.2002,18.19909885784598
124,12.3002,18.504765173394485
125,12.4002,18.739381526938896
126,12.5002,18.881964590032428
127,12.6003,18.796332956920228
128,12.7003,18.575492916781197
129,12.8003,18.414947353855666
130,12.9003,18.210654977801678
131,13.0003,18.15774455678256
132,13.1003,17.90852068839352
133,13.2003,18.281930356653746
134,13.3003,18.275831115922745
135,13.4003,18.35579381061321
136,13.5003,18.299396587497302
137,13.6003,18.41791497158657
138,13.7003,18.079059645367533
139,13.8003,18.36643856031769
140,13.9003,18.233162866772588
141,14.0003,18.094074693531574
142,14.1003,17.988280449594864
143,14.2003,18.3486432958118
144,14.3003,18.496523464667586
145,14.4003,18.80090677128814
146,14.5003,18.894532220234925
147,14.6003,18.14896134781471
148,14.7003,18.366830228688436
149,14.8003,18.387074771978718
150,14.9003,18.459957938358215
151,15.0003,18.61033981437596
152,15.1003,18.647207853947744
153,15.2003,18.787477613024468
154,15.3003,18.879484923725688
155,15.4003,18.680395299790295
156,15.5003,18.77984047308163
157,15.6003,18.446114634971003
158,15.7003,18.328175277870432
159,15.8003,18.514624267136142
160,15.9003,18.41460961832864
161,16.0003,18.54847221510514
162,16.1003,18.34000282114708
163,16.2003,18.300128601264284
164,16.3003,18.471216405320515
165,16.4003,18.593945390132678
166,16.5003,18.323156486177762
167,16.6003,18.707193877621645
168,16.7003,18.62786727724645
169,16.8003,18.169008077354235
170,16.9003,18.107259690650167
171,17.0003,18.303065899927276
172,17.1003,17.953900185732074
173,17.2003,17.771317296934235
174,17.3003,18.1543242221416
175,17.4003,18.10617763205642
176,17.5004,18.511503762094105
177,17.6004,18.536002808121093
178,17.7004,18.353668155335658
179,17.8004,18.61913332270101
180,17.9004,18.087304488136226
181,18.0004,18.142252680330003
182,18.1004,18.123706143156948
183,18.2004,18.133729782984364
184,18.3004,18.20220522881043
185,18.4004,18.28395627226684
186,18.5004,18.140442737805397
187,18.6004,18.36766407354417
188,18.7004,18.172619439432914
189,18.8004,18.191037027770577
190,18.9004,17.942808755374934
191,19.0004,18.16482538706063
192,19.1004,18.071071266808442
193,19.2004,18.24639360521678
194,19.3004,18.403319118372625
195,19.4004,18.196376691944536
196,19.5004,18.491572636302855
197,19.6004,18.50677270273583
198,19.7004,18.698569309398014
199,19.8004,18.689133450136907
200,19.9004,18.286892177395515
201,20.0004,18.88150672076816
202,20.1004,18.847868749639865
203,20.2004,18.75101270905185
204,20.3004,18.962168716321376
205,20.4004,18.788249372528114
206,20.5004,18.836297159422585
207,20.6004,18.867329203997524
208,20.7004,18.878742499245163
209,20.8004,18.813875411990626
210,20.9004,18.9502113589401
211,21.0004,18.911719874665934
212,21.1004,18.661832408392023
213,21.2004,19.010248520805156
214,21.3004,19.209990119777213
215,21.4004,18.737895719008243
216,21.5004,18.866935500306464
217,21.6004,18.734403316155973
218,21.7004,18.744235870850293
219,21.8004,18.67088188862044
220,21.9004,18.59431271827339
221,22.0004,18.7729391866432
222,22.1004,18.45068317708998
223,22.2004,18.571700284172767
224,22.3004,18.915088648835646
225,22.4004,19.103329225287222
226,22.5005,19.44175541307439
227,22.6005,18.746179107785775
228,22.7005,18.661285206868918
229,22.8005,18.888477860922297
230,22.9005,18.562802669494268
231,23.0005,18.691227404211805
232,23.1005,18.767610137096607
233,23.2005,18.8818480071601
234,23.3005,18.91681520265845
235,23.4005,18.74467655085397
236,23.5005,18.933761194432698
237,23.6005,18.990685630544277
238,23.7005,19.24710136234608
239,23.8005,19.125468046037046
240,23.9005,18.915470595453453
241,24.0005,19.155859674706786
242,24.1005,18.86259813550195
243,24.2005,19.315501806948493
244,24.3005,19.137953343801776
245,24.4005,18.854712743833662
246,24.5005,19.067658464904255
247,24.6005,19.11321416909009
248,24.7005,19.086718441665585
249,24.8005,19.404879629978403
250,24.9005,19.199852089227086
251,25.0005,19.278172222024637
252,25.1005,19.218925436560664
253,25.2005,19.19836779395012
254,25.3005,18.887390258665203
255,25.4005,18.787107847923192
256,25.5005,18.831755346466643
257,25.6005,18.642664876938355
258,25.7005,18.91336163871357
259,25.8005,18.755366667104635
260,25.9005,19.115667583136513
261,26.0005,19.2716895986959
262,26.1005,19.13107989424602
263,26.2005,18.803536937401628
264,26.3005,19.344835323837422
265,26.4005,19.30362251463344
266,26.5005,19.33420520496763
267,26.6005,19.16943025497541
268,26.7005,19.158505024744173
269,26.8005,19.122471703785305
270,26.9005,19.295271693511943
271,27.0005,19.071731516577227
272,27.1005,19.051621208147925
273,27.2005,18.907823226564847
274,27.3005,18.996180400642732
275,27.4005,19.369067052861258
276,27.5006,19.30365432840143
277,27.6006,18.959692528961163
278,27.7006,18.891676822399443
279,27.8006,19.03022130335632
280,27.9006,19.323553441188793
281,28.0006,19.547087579209087
282,28.1006,19.11961304088378
283,28.2006,19.072850143047056
284,28.3006,19.178098585042576
285,28.4006,18.918194406778767
286,28.5006,18.80273430403844
287,28.6006,18.596423524664676
288,28.7006,18.6110326634365
289,28.8006,18.79709248523384
290,28.9006,18.84586934728535
291,29.0006,18.70140982730281
292,29.1006,18.671697953317036
293,29.2006,18.666427146836778
294,29.3006,18.56271317106241
295,29.4006,18.830475015987428
296,29.5006,18.671642724327445
297,29.6006,18.752489891574974
298,29.7006,18.752328078868572
299,29.8006,18.63802884589811
300,29.9006,18.87528106635417
301,30.0006,19.118652328452377
302,30.1006,18.906132387884753
303,30.2006,18.920667345810614
304,30.3006,18.74311053002531
305,30.4006,18.945939741564324
306,30.5006,18.842312088686363
307,30.6006,18.626068747637916
308,30.7006,18.759198733333726
309,30.8006,18.78571173818638
310,30.9006,18.785257706927254
311,31.0006,18.673145262810433
312,31.1006,18.904742838690606
313,31.2006,18.90009776792641
314,31.3006,18.996906944692206
315,31.4006,18.72150531209825
316,31.5006,19.013047613353898
317,31.6006,18.96587550692849
318,31.7006,18.854537881937965
319,31.8006,19.146914178335006
320,31.9006,18.84042861950665
321,32.0006,18.91487921343216
322,32.1006,19.103089934750436
323,32.2006,18.989340573048878
324,32.3006,19.142437212419566
325,32.4006,19.07383253694454
326,32.5007,18.96230630510331
327,32.6007,19.172321392204317
328,32.7007,18.982294117874964
329,32.8007,18.969342919400482
330,32.9007,19.098029432413455
331,33.0007,18.82427679731623
332,33.1007,19.014362860679825
333,33.2007,18.787548875365275
334,33.3007,18.940739704882837
335,33.4007,19.034450467201545
336,33.5007,19.002953416429087
337,33.6007,18.968455982037483
338,33.7007,18.932221015652335
339,33.8007,18.79085904182597
340,33.9007,18.850380981349545
341,34.0007,18.931114567020472
342,34.1007,19.175874405305482
343,34.2007,19.02871875129069
344,34.3007,18.98684499224636
345,34.4007,19.260824060735384
346,34.5007,19.039244373512417
347,34.6007,19.313684874451184
348,34.7007,19.07497648356794
349,34.8007,19.082013691786223
350,34.9007,19.00104524571486
351,35.0007,18.993081445305858
352,35.1007,18.882776341496832
353,35.2007,18.979757155529366
354,35.3007,19.134990599054163
355,35.4007,19.040828171422337
356,35.5007,18.88190012018184
357,35.6007,18.943604446246272
358,35.7007,19.15670664002173
359,35.8007,18.951951855126985
360,35.9007,18.88898778761521
361,36.0007,18.776943473013752
362,36.1007,19.044443292920672
363,36.2007,19.182424140474986
364,36.3007,19.041932087307618
365,36.4007,18.999470663854943
366,36.5007,18.905919025154866
367,36.6007,18.900176906465983
368,36.7007,18.923845445932727
369,36.8007,18.99586153410213
370,36.9007,19.074887412097628
371,37.0007,19.067729835537975
372,37.1007,19.148979648503516
373,37.2007,19.173630260428244
374,37.3007,19.13938685669266
375,37.4007,18.757793358562253
376,37.5007,18.92063256864613
377,37.6008,18.632855641676773
378,37.7008,18.966331492690607
379,37.8008,19.13684434315309
380,37.9008,19.0356030097527
381,38.0008,19.180686489982413
382,38.1008,18.907651790345025
383,38.2008,18.87959331220812
384,38.3008,19.08006389182282
385,38.4008,18.934923489783372
386,38.5008,19.00989597148195
387,38.6008,18.991737037109193
388,38.7008,19.15501374408275
389,38.8008,18.951537412677947
390,38.9008,19.088823307669518
391,39.0008,19.035594176280497
392,39.1008,18.98590133336057
393,39.2008,18.878021893078277
394,39.3008,19.05706671342986
395,39.4008,19.079806269176654
396,39.5008,19.068575115067073
397,39.6008,19.02867252351225
398,39.7008,19.007783814382886
399,39.8008,19.246543621072306
400,39.9008,19.214005903197368
401,40.0008,19.216293428214446
402,40.1008,19.26562275368506
403,40.2008,19.226132969618767
404,40.3008,19.1542583749599
405,40.4008,19.382960225574156
406,40.5008,19.019790480093377
407,40.6008,19.210773897602017
408,40.7008,18.919816408466655
409,40.8008,18.98459985275374
410,40.9008,19.192841710534122
411,41.0008,19.138528294791424
412,41.1008,19.09810525483731
413,41.2008,19.205961032177026
414,41.3008,19.209624782863546
415,41.4008,19.171614533516276
416,41.5008,19.26531880502328
417,41.6008,19.326482638711937
418,41.7008,19.448520279045102
419,41.8008,19.39371792861466
420,41.9008,19.254051815376688
421,42.0008,19.517985447998885
422,42.1008,19.45065745216679
423,42.2008,19.14400898301343
424,42.3008,19.283948351537855
425,42.4008,19.187059752116568
426,42.5008,19.140148717419983
427,42.6009,19.10736416292959
428,42.7009,18.80159328147189
429,42.8009,19.05562315839449
430,42.9009,18.91808350613632
431,43.0009,18.727535264830582
432,43.1009,18.993708405906634
433,43.2009,19.018700156082428
434,43.3009,18.97175920847017
435,43.4009,19.114526971921894
436,43.5009,19.154882993583477
437,43.6009,18.917028338037934
438,43.7009,18.863330506580432
439,43.8009,18.966300034805062
440,43.9009,18.77157254816596
441,44.0009,18.859422244326055
442,44.1009,18.883777179128046
443,44.2009,19.063118994342982
444,44.3009,18.896039100942822
445,44.4009,19.069466153727298
446,44.5009,19.075117142844714
447,44.6009,19.296232597236777
448,44.7009,19.51331545782711
449,44.8009,19.43443445375632
450,44.9009,19.322292981719926
451,45.0009,19.130580801314323
452,45.1009,19.04961715897644
453,45.2009,19.132321444036794
454,45.3009,18.923791187102694
455,45.4009,18.81372480034452
456,45.5009,19.01430271270384
457,45.6009,18.96938919106148
458,45.7009,18.844749069288692
459,45.8009,18.854799203663102
460,45.9009,19.345577824151977
461,46.0009,19.026879132885735
462,46.1009,19.197004732430848
463,46.2009,18.931432084299686
464,46.3009,18.966683634975546
465,46.4009,18.976914342006605
466,46.5009,19.10140004239983
467,46.6009,18.831574508641147
468,46.7009,18.95773661893442
469,46.8009,18.867884131629495
470,46.9009,18.800274738030822
471,47.0009,18.99925887744536
472,47.1009,19.019488714224806
473,47.2009,19.054694704496388
474,47.3009,19.085455503521292
475,47.4009,19.11488835215771
476,47.501,19.122254515430786
477,47.601,18.940083216974667
478,47.701,19.07503212131153
479,47.801,18.943326204592907
480,47.901,19.03349422606077
481,48.001,18.993783302060027
482,48.101,19.15918736442399
483,48.201,19.133213201213163
484,48.301,18.991815185709523
485,48.401,19.103097230775244
486,48.501,18.786820412371153
487,48.601,19.109466473377953
488,48.701,19.10465397706101
489,48.801,19.003126993061446
490,48.901,19.13061678566723
491,49.001,19.01295262160628
492,49.101,19.034134735074854
493,49.201,19.196760978774492
494,49.301,19.21523289157577
495,49.401,19.262128848489894
496,49.501,19.2205074837017
497,49.601,19.24690789848833
498,49.701,19.25030464856287
499,49.801,19.241101442160083
500,49.901,19.020800689414028
501,50.001,19.285315092423417
502,50.101,19.38776077129503
503,50.201,19.260788360865877
504,50.301,19.179079415222414
505,50.401,19.180782717847205
506,50.501,19.174238568882778
507,50.601,19.125122972951537
508,50.701,19.184779742159744
509,50.801,19.12439731711983
510,50.901,19.14413230744552
511,51.001,19.16808434879369
512,51.101,19.14629828744504
513,51.201,19.00836528893589
514,51.301,19.13375563098492
515,51.401,18.9633335634581
516,51.501,18.924339463007158
517,51.601,19.007612852247817
518,51.701,19.157153287527123
519,51.801,19.328505596353036
520,51.901,19.05028005786924
521,52.001,19.1939224195427
522,52.101,19.224437649908367
523,52.201,19.383089425052937
524,52.301,19.027739826029173
525,52.401,19.128317773645083
526,52.5011,19.17661961821869
527,52.6011,19.044378779571
528,52.7011,19.115237311295406
529,52.8011,18.820054752245472
530,52.9011,19.14016673511005
531,53.0011,19.206792959788885
532,53.1011,19.085700819543845
533,53.2011,19.067340253901456
534,53.3011,19.14953088154176
535,53.4011,19.080051325963275
536,53.5011,19.198791263336876
537,53.6011,19.19800843908982
538,53.7011,19.211945022229834
539,53.8011,19.173756638568882
540,53.9011,18.96377948348965
541,54.0011,18.73436925432562
542,54.1011,19.040511849840676
543,54.2011,19.051784110554973
544,54.3011,18.93563879989017
545,54.4011,19.061358223986517
546,54.5011,18.866059539173577
547,54.6011,19.06811719748649
548,54.7011,19.252606525645202
549,54.8011,18.951876785654544
550,54.9011,18.848848522885156
551,55.0011,18.691505792839394
552,55.1011,18.711052968619377
553,55.2011,19.124942773448883
554,55.3011,19.21364766648942
555,55.4011,18.966273505706322
556,55.5011,19.032304109069024
557,55.6011,19.118287945612842
558,55.7011,19.090579880764366
559,55.8011,19.035091646957973
560,55.9011,19.02080776874883
561,56.0011,19.208871839285838
562,56.1011,19.20638799959089
563,56.2011,19.277077921475758
564,56.3011,19.12800188444588
565,56.4011,19.102438162516556
566,56.5011,18.95945853906688
567,56.6011,18.757197546583498
568,56.7011,18.956573627254013
569,56.8011,19.162583750309373
570,56.9011,19.091979771346168
571,57.0011,18.971928928046054
572,57.1011,18.936101299020013
573,57.2011,18.901993816573714
574,57.3011,18.994222656400254
