Frame,Time (ns),Radius of Gyration 2 (3098 atoms)
1,0.0,16.622736634108882
2,0.1,16.71371128528094
3,0.2,16.71661314152813
4,0.3,16.795548330287573
5,0.4,16.783824897411087
6,0.5,16.750508848542484
7,0.6,16.91223069989615
8,0.7,16.791624134756113
9,0.8,16.900443615365408
10,0.9,16.85608499299774
11,1.0,16.837070643527486
12,1.1,16.857463015979416
13,1.2,16.856860818210944
14,1.3,16.80784740922863
15,1.4,16.9363745037611
16,1.5,16.81974476949543
17,1.6,16.8427814812422
18,1.7,16.9345775584369
19,1.8,16.890901706896578
20,1.9,16.901196601816256
21,2.0,16.892776911783564
22,2.1,16.82351489100192
23,2.2,16.914721045671197
24,2.3,16.87649829247055
25,2.4,16.838606494933504
26,2.5001,16.852456350685262
27,2.6001,16.75418987847498
28,2.7001,16.875331554182274
29,2.8001,16.84381537255174
30,2.9001,16.78397706639728
31,3.0001,16.820846618249025
32,3.1001,16.823930978194994
33,3.2001,16.843228877110214
34,3.3001,16.957061927427524
35,3.4001,16.90004242552956
36,3.5001,16.831042718741067
37,3.6001,16.90560905183076
38,3.7001,16.83400991610388
39,3.8001,16.93938499224673
40,3.9001,16.908704072588748
41,4.0001,16.964839507372275
42,4.1001,16.86113848937736
43,4.2001,16.877081018889196
44,4.3001,16.79829281181648
45,4.4001,16.922974407069653
46,4.5001,16.916788647902518
47,4.6001,16.829848447637676
48,4.7001,16.87687371966651
49,4.8001,16.93123558886115
50,4.9001,16.963781362971172
51,5.0001,16.90831264886028
52,5.1001,16.81909183622564
53,5.2001,16.74999485481515
54,5.3001,16.798164814415312
55,5.4001,16.95416715004038
56,5.5001,16.901638204106284
57,5.6001,16.891680115087294
58,5.7001,16.908208408024237
59,5.8001,16.95322539087847
60,5.9001,16.892528880300578
61,6.0001,16.935012135418663
62,6.1001,16.958392629804045
63,6.2001,16.88342748742098
64,6.3001,16.940764667819433
65,6.4001,16.972341996357887
66,6.5001,16.99369280359891
67,6.6001,16.99312719276875
68,6.7001,16.84905918681823
69,6.8001,16.97162692188106
70,6.9001,16.998466583034162
71,7.0001,16.860091170690232
72,7.1001,16.86173801705478
73,7.2001,16.95135153342017
74,7.3001,16.877740101443283
75,7.4001,16.976360473603265
76,7.5002,16.844234404123632
77,7.6002,16.876885686947578
78,7.7002,16.920000830198138
79,7.8002,16.88951392564958
80,7.9002,16.812968603224594
81,8.0002,16.842183330259452
82,8.1002,16.78985067083773
83,8.2002,16.75846102113793
84,8.3002,16.770652417646907
85,8.4002,16.821632629828493
86,8.5002,16.764431810218372
87,8.6002,16.806691019440446
88,8.7002,16.876378130711426
89,8.8002,16.874168547543533
90,8.9002,16.867907917280316
91,9.0002,16.834596549335938
92,9.1002,16.86999080884931
93,9.2002,16.799894535141405
94,9.3002,16.978422526267668
95,9.4002,16.962587299361985
96,9.5002,16.934270977434405
97,9.6002,16.842877411081123
98,9.7002,16.935708090711927
99,9.8002,16.85351479179478
100,9.9002,16.841479056565536
101,10.0002,16.824325283533632
102,10.1002,16.94330913126535
103,10.2002,16.853540659951495
104,10.3002,16.89614682513504
105,10.4002,16.873857725308067
106,10.5002,16.9360466590519
107,10.6002,16.962687424453033
108,10.7002,16.863816370397373
109,10.8002,16.884326210409856
110,10.9002,16.914177612849137
111,11.0002,16.961925372991434
112,11.1002,16.929447898384097
113,11.2002,17.017959190073448
114,11.3002,16.96701644996499
115,11.4002,16.985615463337417
116,11.5002,16.95146462945892
117,11.6002,16.974610481012462
118,11.7002,17.045951535975295
119,11.8002,17.093066659485924
120,11.9002,17.011676285654413
121,12.0002,16.938448626682963
122,12.1002,17.02068960148422
123,12.2002,16.848729125499606
124,12.3002,16.950138297699212
125,12.4002,16.970422418100963
126,12.5002,16.948154273145626
127,12.6003,16.95217564098818
128,12.7003,16.98591245388989
129,12.8003,16.954338945840224
130,12.9003,16.825072823104854
131,13.0003,16.726283424849747
132,13.1003,16.938827715114158
133,13.2003,16.94130705894376
134,13.3003,16.885818981142336
135,13.4003,16.921698963095167
136,13.5003,16.972184928684815
137,13.6003,17.01574629776971
138,13.7003,16.843550094002804
139,13.8003,17.00332738291018
140,13.9003,16.908257334187354
141,14.0003,16.892213796371394
142,14.1003,16.971100165812697
143,14.2003,16.936632145830234
144,14.3003,16.912569202793204
145,14.4003,16.889144806760097
146,14.5003,16.94196167077479
147,14.6003,16.934738402372574
148,14.7003,16.954420014968715
149,14.8003,17.03510299750533
150,14.9003,16.945114357117863
151,15.0003,17.014153666078265
152,15.1003,16.954161081758045
153,15.2003,16.963507894009005
154,15.3003,16.94166529069512
155,15.4003,16.94384653818933
156,15.5003,16.96150915428525
157,15.6003,17.019846609739705
158,15.7003,16.866975839850703
159,15.8003,16.93171410649664
160,15.9003,16.862854716224803
161,16.0003,16.903292587523502
162,16.1003,16.985677264275676
163,16.2003,16.865400986460944
164,16.3003,16.892039384047806
165,16.4003,16.920264209299674
166,16.5003,16.975896595637963
167,16.6003,16.955791764267087
168,16.7003,16.906672843620406
169,16.8003,16.948540363237772
170,16.9003,17.128790880758558
171,17.0003,17.009337150953233
172,17.1003,16.995395153760352
173,17.2003,17.053102036754392
174,17.3003,16.998862586649118
175,17.4003,16.92920242063543
176,17.5004,16.918957436086743
177,17.6004,16.90065386620645
178,17.7004,16.86321587282613
179,17.8004,16.96472749394034
180,17.9004,17.045337989079723
181,18.0004,16.917727586015037
182,18.1004,16.962004344600498
183,18.2004,16.947795962215558
184,18.3004,16.877163504892128
185,18.4004,16.970557692609315
186,18.5004,16.954022776480908
187,18.6004,16.884652734444344
188,18.7004,16.99939475020974
189,18.8004,16.967064167775654
190,18.9004,16.978337028101755
191,19.0004,16.941569412266084
192,19.1004,16.96477865614365
193,19.2004,17.042020785287363
194,19.3004,17.009026229788052
195,19.4004,17.10686681624249
196,19.5004,16.953979209747793
197,19.6004,16.984245047992896
198,19.7004,16.86680502023977
199,19.8004,16.95714951472812
200,19.9004,16.777595235710255
201,20.0004,16.90190941944178
202,20.1004,16.892697132544146
203,20.2004,16.86640609027112
204,20.3004,16.918976026289574
205,20.4004,16.903330776110874
206,20.5004,16.851089857780973
207,20.6004,16.841530238279937
208,20.7004,16.992539337976435
209,20.8004,16.902369038343643
210,20.9004,16.769737882769114
211,21.0004,16.92020535021571
212,21.1004,16.883193625831037
213,21.2004,16.822000073633276
214,21.3004,16.90114019974049
215,21.4004,16.805115135563486
216,21.5004,16.865049244811896
217,21.6004,16.903488185286474
218,21.7004,16.82483266403366
219,21.8004,16.934672971748572
220,21.9004,16.88476135494579
221,22.0004,16.895855444529342
222,22.1004,16.875433608609406
223,22.2004,17.04260254374982
224,22.3004,17.02243087975111
225,22.4004,16.9851548081729
226,22.5005,17.07029211065099
227,22.6005,17.039959649677144
228,22.7005,17.110656922216286
229,22.8005,17.107564319828285
230,22.9005,17.018002116296728
231,23.0005,17.046612743508952
232,23.1005,17.0269127309141
233,23.2005,16.9196914553895
234,23.3005,16.920629323133895
235,23.4005,17.13271152189102
236,23.5005,17.08075140113436
237,23.6005,17.002670529123776
