Frame,Time (ns),Radius of Gyration 3 (5760 atoms)
1,0.0,22.45042868672088
2,0.1,22.729047463186657
3,0.2,22.912925755432056
4,0.3,23.071181982218953
5,0.4,23.078097502961135
6,0.5,23.085698371918937
7,0.6,23.300959177533546
8,0.7,23.04227635536865
9,0.8,23.2409139721869
10,0.9,23.08374976437262
11,1.0,23.17789252406324
12,1.1,23.173065333696204
13,1.2,23.221986182056646
14,1.3,23.369502055682013
15,1.4,23.48891811408927
16,1.5,23.50323718282973
17,1.6,23.53912773499736
18,1.7,23.61971453296283
19,1.8,23.6349598410798
20,1.9,23.652622979168903
21,2.0,23.39290938139935
22,2.1,23.577803125659393
23,2.2,23.529153904321458
24,2.3,23.571079230317093
25,2.4,23.49315702640402
26,2.5001,23.572572998128663
27,2.6001,23.50665410139906
28,2.7001,23.618572322466115
29,2.8001,23.618866565085444
30,2.9001,23.46057948554548
31,3.0001,23.73192718104661
32,3.1001,23.685796847958436
33,3.2001,23.576482745753417
34,3.3001,23.634818840990192
35,3.4001,23.525741019288414
36,3.5001,23.522618888400633
37,3.6001,23.627183708789723
38,3.7001,23.401293857902548
39,3.8001,23.547954960931825
40,3.9001,23.44041112307688
41,4.0001,23.562260251482144
42,4.1001,23.439443523487636
43,4.2001,23.547885327304027
44,4.3001,23.528162099574477
45,4.4001,23.35172204618073
46,4.5001,23.42569400856362
47,4.6001,23.40095754059922
48,4.7001,23.420810689332523
49,4.8001,23.355389133378324
50,4.9001,23.4011846904959
51,5.0001,23.342534506545196
52,5.1001,23.342998147520873
53,5.2001,23.287724412705085
54,5.3001,23.53089734529756
55,5.4001,23.65576548208677
56,5.5001,23.47856077580687
57,5.6001,23.58102535787395
58,5.7001,23.55173378030387
59,5.8001,23.52520530356538
60,5.9001,23.729773638959077
61,6.0001,23.786722118793502
62,6.1001,23.773184021010685
63,6.2001,23.640316970416922
64,6.3001,23.68791263416085
65,6.4001,23.70039254413497
66,6.5001,23.83284477729594
67,6.6001,23.95408057451315
68,6.7001,23.995082765623447
69,6.8001,23.771714045005538
70,6.9001,23.781989656757045
71,7.0001,23.885148343727437
72,7.1001,23.6837653421124
73,7.2001,23.59766313055518
74,7.3001,23.98822211966714
75,7.4001,23.75844486289687
76,7.5002,23.9754649246094
77,7.6002,23.878868630921158
78,7.7002,23.8512455863074
79,7.8002,23.76999889825769
80,7.9002,23.590313659695905
81,8.0002,23.716895984937246
82,8.1002,23.502865775862134
83,8.2002,23.37361122497207
84,8.3002,23.43859823642872
85,8.4002,23.445435763325793
86,8.5002,23.41695633634053
87,8.6002,23.14459144447832
88,8.7002,23.473965202806657
89,8.8002,23.471487074396496
90,8.9002,23.405849887812913
91,9.0002,23.660645754511844
92,9.1002,23.70478622665493
93,9.2002,23.66958550978799
94,9.3002,23.936990847210417
95,9.4002,24.131343210521308
96,9.5002,23.85526139850361
97,9.6002,23.7985865780889
98,9.7002,24.12081801519074
99,9.8002,23.93508995359063
100,9.9002,24.343237806755983
101,10.0002,24.06726706792334
102,10.1002,24.243315782168196
103,10.2002,24.879651873924143
104,10.3002,25.314896597770115
105,10.4002,25.209236870191265
106,10.5002,25.719680906308543
107,10.6002,25.540271668045005
108,10.7002,25.78208067189795
109,10.8002,25.62128092913711
110,10.9002,25.37559922875653
111,11.0002,24.07904861703271
112,11.1002,26.199258182414813
113,11.2002,26.517093235998047
114,11.3002,26.320274817929143
115,11.4002,26.413344886529185
116,11.5002,26.895021411024064
117,11.6002,24.07969257557094
118,11.7002,24.133104890192783
119,11.8002,24.38637390961961
120,11.9002,27.777119737948933
121,12.0002,24.352181224374316
122,12.1002,24.473420120464194
123,12.2002,24.23950306329673
124,12.3002,24.3647268244275
125,12.4002,24.607609334150535
126,12.5002,30.674149242454213
127,12.6003,31.16806572624529
128,12.7003,24.746223558417288
129,12.8003,24.42314361559561
130,12.9003,24.60362796280282
131,13.0003,24.18230906247508
132,13.1003,24.310843073875866
133,13.2003,24.283019654853213
134,13.3003,24.33141797039366
135,13.4003,24.47361034881008
136,13.5003,24.450745222227336
137,13.6003,24.58003447245736
138,13.7003,24.514825907839928
139,13.8003,24.391726908056746
