Frame,Time (ns),RMSD 1 (2662 atoms)
1,0.0,9.641897255406644e-06
2,0.1,1.862665837665262
3,0.2,1.953110367988452
4,0.3,2.362889556465322
5,0.4,2.3988234558188006
6,0.5,2.54457694064071
7,0.6,2.868664770075328
8,0.7,3.3422032983725405
9,0.8,3.1055058311074513
10,0.9,3.02621035603775
11,1.0,2.8672910752046437
12,1.1,2.8232478715999108
13,1.2,2.7550690029845573
14,1.3,2.6316260371019324
15,1.4,2.806194001431766
16,1.5,3.185384746006851
17,1.6,3.3461977196542696
18,1.7,2.9935352399134203
19,1.8,3.2504785857073863
20,1.9,3.2233332177368874
21,2.0,2.7261221549957986
22,2.1,3.1666233464488203
23,2.2,3.304375730450611
24,2.3,3.2738660111171325
25,2.4,3.089001849948029
26,2.5001,3.053623343883021
27,2.6001,2.982464718730447
28,2.7001,3.0281282687808164
29,2.8001,3.0626565719437564
30,2.9001,3.0626715270069633
31,3.0001,3.3112464413779543
32,3.1001,3.201389201949881
33,3.2001,2.802066715525027
34,3.3001,2.6387733256713806
35,3.4001,2.7841646456856224
36,3.5001,3.379125422960535
37,3.6001,3.597663769934475
38,3.7001,3.450307837795591
39,3.8001,3.003201070552592
40,3.9001,3.000115774263062
41,4.0001,3.108839681613107
42,4.1001,3.076236648200519
43,4.2001,3.1177835583309426
44,4.3001,3.5418649655121577
45,4.4001,3.124727186009685
46,4.5001,3.0382620838058076
47,4.6001,3.385172342100411
48,4.7001,3.36457857394523
49,4.8001,3.2709342379944526
50,4.9001,3.074889987766778
51,5.0001,2.936527808754931
52,5.1001,3.1681283991381273
53,5.2001,3.240986196862531
54,5.3001,3.88167780871752
55,5.4001,3.752640378010251
56,5.5001,3.9944861019137172
57,5.6001,3.788170208967588
58,5.7001,3.6429111095092734
59,5.8001,3.129977665088901
60,5.9001,3.5556817714252653
61,6.0001,3.026195522687725
62,6.1001,2.751913342884445
63,6.2001,2.892145203472107
64,6.3001,2.7491020912517135
65,6.4001,3.655649487332199
66,6.5001,4.128386101482467
67,6.6001,4.153705064201911
68,6.7001,4.373143258570695
69,6.8001,3.9143873292991365
70,6.9001,3.7584403606229984
71,7.0001,4.022217835421413
72,7.1001,3.1029401004391697
73,7.2001,3.5500224132258404
74,7.3001,4.11319365614563
75,7.4001,3.3547934404402713
76,7.5002,3.1349331666010545
77,7.6002,3.616878945483307
78,7.7002,3.592270215022722
79,7.8002,3.7790157827794535
80,7.9002,3.9160945620360166
81,8.0002,3.553523785003145
82,8.1002,3.6126603270559268
83,8.2002,3.4179546060431405
84,8.3002,3.3578185176792212
85,8.4002,3.398032644904482
86,8.5002,3.036898635634969
87,8.6002,3.0926182220799037
88,8.7002,3.3318429144565895
89,8.8002,3.1894941615435553
90,8.9002,3.295575360771138
91,9.0002,3.426394444027762
92,9.1002,3.414995573154018
93,9.2002,3.726408777196515
94,9.3002,3.6874299562515263
95,9.4002,3.7079884582680913
96,9.5002,3.7988142147170154
97,9.6002,3.6073408952033823
98,9.7002,3.8333344371968936
