Frame,Time (ns),RMSD 3 (5760 atoms)
1,0.0,28.590808521931038
2,0.1,28.41618749260214
3,0.2,28.388534723405613
4,0.3,28.604059338981074
5,0.4,28.430218904940297
6,0.5,28.53133178785395
7,0.6,28.492509931349062
8,0.7,28.640060286073577
9,0.8,28.742550874638926
10,0.9,28.789139041243835
11,1.0,28.62809519993505
12,1.1,28.631820942523127
13,1.2,28.477337987403335
14,1.3,28.3436290677509
15,1.4,28.455188108288315
16,1.5,28.372493334312793
17,1.6,28.332169729456606
18,1.7,28.384889210992515
19,1.8,28.26944232795215
20,1.9,28.298009643956075
21,2.0,28.291701414407264
22,2.1,28.24976617773731
23,2.2,28.17719070285046
24,2.3,28.459056351273343
25,2.4,28.6452117778358
26,2.5001,28.19230252666926
27,2.6001,28.497848537816207
28,2.7001,28.366943476786602
29,2.8001,28.475757721094904
30,2.9001,28.294323631075553
31,3.0001,28.159938610635265
32,3.1001,27.98625224842378
33,3.2001,28.2585928445814
34,3.3001,28.28452924544206
35,3.4001,28.651253505079787
36,3.5001,28.68227613410731
37,3.6001,28.370564477323544
38,3.7001,28.517631529486245
39,3.8001,28.50146005119057
40,3.9001,28.497190956585055
41,4.0001,28.51719227784526
42,4.1001,28.295680643388707
43,4.2001,28.360713934874845
44,4.3001,28.49942634860986
45,4.4001,28.664563967808768
46,4.5001,28.338644211105585
47,4.6001,28.375629858311992
48,4.7001,28.378132921418658
49,4.8001,28.48423195685639
50,4.9001,28.351975584133196
51,5.0001,28.2935571189244
52,5.1001,28.643910633385914
53,5.2001,28.673233101587957
54,5.3001,28.69808056314843
55,5.4001,28.37072640678914
56,5.5001,28.72263559074468
57,5.6001,28.56750677257584
58,5.7001,28.62992300537232
59,5.8001,28.486766445814684
60,5.9001,28.338990094222876
61,6.0001,28.407986104633412
62,6.1001,28.341615075534925
63,6.2001,28.42852541519125
64,6.3001,28.0850437967108
65,6.4001,28.38474566337235
66,6.5001,28.393695017455403
67,6.6001,28.43713274816503
68,6.7001,28.374152013091877
69,6.8001,28.370074705206996
70,6.9001,28.379893674392413
71,7.0001,28.07019238917556
72,7.1001,27.830413772037033
73,7.2001,27.96409906196113
74,7.3001,27.875928375675112
75,7.4001,27.863787313395235
76,7.5002,27.852965290557847
77,7.6002,27.809589958274117
78,7.7002,27.849303426351362
79,7.8002,27.79618548985202
80,7.9002,27.867124342270863
81,8.0002,27.617864513911925
82,8.1002,27.81865573638529
83,8.2002,27.929566206254876
84,8.3002,28.139970257066782
85,8.4002,28.03240167265917
86,8.5002,28.109468755885274
87,8.6002,28.183357130861292
88,8.7002,27.986799944307933
89,8.8002,27.960263363186186
90,8.9002,27.91141609572765
91,9.0002,27.88127237280336
92,9.1002,27.693755678812312
93,9.2002,27.731668837524825
94,9.3002,27.69475625086785
95,9.4002,28.009939750109265
96,9.5002,28.008771223123304
97,9.6002,28.19067463214717
98,9.7002,28.12984506161821
99,9.8002,28.21935118251694
100,9.9002,27.944680516813573
101,10.0002,28.106687570674573
102,10.1002,27.752598064499402
103,10.2002,27.850249277333447
104,10.3002,27.82931212213445
105,10.4002,28.21749759627815
106,10.5002,27.466792562080954
107,10.6002,27.492418085588188
108,10.7002,27.51607140144439
109,10.8002,27.752855907733412
110,10.9002,27.765368243243
111,11.0002,28.22534157201845
112,11.1002,27.712543303816346
113,11.2002,27.962807788296736
114,11.3002,28.053578941139918
115,11.4002,27.89012116716711
116,11.5002,27.820742451235095
117,11.6002,27.99159637075439
118,11.7002,27.91878360201205
119,11.8002,27.479267945331088
120,11.9002,27.20795352324434
121,12.0002,27.284700385893554
122,12.1002,27.465045602286022
123,12.2002,27.79736814600366
124,12.3002,27.77325432752338
125,12.4002,27.685041979526144
126,12.5002,27.4420508392613
127,12.6003,27.184760783995873
128,12.7003,27.440316118881658
129,12.8003,27.70824967061549
130,12.9003,27.49391676863115
131,13.0003,27.687433738056967
132,13.1003,27.56066174940213
133,13.2003,27.54484923708719
134,13.3003,27.46945662221086
135,13.4003,27.624961403563905
136,13.5003,27.904102575529674
137,13.6003,27.53146797331807
138,13.7003,27.3302486293138
139,13.8003,28.101101612996516
140,13.9003,27.882975294499346
141,14.0003,27.526914596521344
142,14.1003,27.32983309538969
143,14.2003,27.596894576122544
144,14.3003,27.46896218034346
145,14.4003,27.858531699729213
146,14.5003,27.32702216454401
147,14.6003,27.222348148198048
148,14.7003,27.426376339750117
149,14.8003,27.49942358130778
150,14.9003,27.39562073529567
151,15.0003,27.519076613299042
152,15.1003,27.79598912420033
153,15.2003,27.669047244322762
154,15.3003,27.394950058891112
155,15.4003,27.70318041188497
156,15.5003,27.399366001321642
157,15.6003,27.75509707246263
158,15.7003,27.53542123139788
159,15.8003,27.336911767755247
160,15.9003,27.275361950528488
161,16.0003,27.413538593655957
162,16.1003,27.550063489964643
163,16.2003,27.082733719829367
164,16.3003,27.53344967346079
165,16.4003,27.261469921293003
166,16.5003,27.26502932681717
167,16.6003,27.742160622831857
168,16.7003,27.649843304908313
169,16.8003,27.57354302114124
170,16.9003,27.339251883139532
171,17.0003,27.58809967441209
172,17.1003,27.64810491644217
173,17.2003,27.638386453076574
174,17.3003,27.72276076427818
175,17.4003,27.395131771089947
176,17.5004,27.571388348819873
177,17.6004,27.452402869306248
178,17.7004,27.727402353285168
179,17.8004,27.966240290410788
180,17.9004,27.831161742534466
181,18.0004,27.81030679790091
182,18.1004,27.702149977676665
183,18.2004,27.705796239278715
184,18.3004,27.700540933388652
185,18.4004,27.588625942587065
186,18.5004,27.769460625435777
187,18.6004,27.71397751958407
188,18.7004,27.708204024774723
189,18.8004,27.748817762776348
190,18.9004,27.836193858277834
191,19.0004,27.718580479970576
192,19.1004,27.781897035775053
193,19.2004,27.626270257514594
194,19.3004,27.794327724034098
195,19.4004,27.87434442405098
196,19.5004,27.991356963510505
197,19.6004,27.884980365034785
198,19.7004,27.80421823685626
199,19.8004,27.53581393849108
200,19.9004,27.42823984967125
201,20.0004,27.58849744976054
202,20.1004,27.530034767463995
203,20.2004,27.526555886543996
204,20.3004,27.521011585403315
205,20.4004,27.585927243380578
206,20.5004,27.563136004872206
207,20.6004,27.273504914252907
208,20.7004,27.493538398298043
209,20.8004,27.502875998442025
210,20.9004,27.486863367946302
211,21.0004,27.42736304092065
212,21.1004,27.517293378461776
213,21.2004,27.410979115419288
214,21.3004,27.438036020580277
215,21.4004,27.6129142724168
216,21.5004,27.51968921277322
217,21.6004,27.453928831377404
218,21.7004,27.555142052689547
219,21.8004,27.536831912625853
220,21.9004,27.75247665594829
221,22.0004,27.69839850517161
222,22.1004,27.739999067270098
223,22.2004,27.80882670430943
224,22.3004,27.669239805179394
225,22.4004,27.798769916327775
226,22.5005,27.653220197752997
227,22.6005,27.63705554083886
228,22.7005,27.731785903013968
229,22.8005,27.565691014451225
230,22.9005,27.529853797959422
231,23.0005,27.76005447669314
232,23.1005,27.75310868982551
233,23.2005,27.80217815893479
234,23.3005,28.07344133701609
235,23.4005,27.946688357458473
236,23.5005,27.945957418304843
237,23.6005,27.83228239258864
238,23.7005,27.912937009305267
239,23.8005,27.99655510108494
240,23.9005,27.977814956595253
241,24.0005,27.955873877573143
242,24.1005,27.846926467043563
243,24.2005,27.985161301501133
244,24.3005,27.86244037319119
245,24.4005,27.848095618701382
246,24.5005,27.667911464429825
247,24.6005,27.952678883603717
248,24.7005,27.93638228862133
249,24.8005,27.82494255690093
250,24.9005,27.740550175820122
251,25.0005,27.991486736303933
252,25.1005,27.958494303203153
253,25.2005,27.95050354725556
254,25.3005,27.888775566719033
255,25.4005,28.13767066085898
256,25.5005,27.93865996068433
257,25.6005,28.014563290229496
258,25.7005,27.834283718095765
259,25.8005,27.95299668965455
260,25.9005,27.730274282066613
261,26.0005,28.041288870767424
262,26.1005,27.97403850457203
263,26.2005,27.91360156176326
264,26.3005,28.083431790592158
265,26.4005,27.886302111844813
266,26.5005,27.980644221095996
267,26.6005,28.101211976930745
268,26.7005,27.92625445670334
269,26.8005,27.911220618428
270,26.9005,27.812761058942257
271,27.0005,27.866009121874978
272,27.1005,27.885959975058388
273,27.2005,27.952171442681035
274,27.3005,27.81204363939353
275,27.4005,28.035599838554166
276,27.5006,27.92767622628056
277,27.6006,28.05316378151464
278,27.7006,27.892673736807083
279,27.8006,28.164210735847046
280,27.9006,27.97927961632427
281,28.0006,28.113811695206284
282,28.1006,28.084193188533707
283,28.2006,27.966817091594052
284,28.3006,27.98243168675739
285,28.4006,28.038516599269883
286,28.5006,27.96859810364881
287,28.6006,27.98255815530018
288,28.7006,27.843883255564016
289,28.8006,28.068323318548305
290,28.9006,27.96022331560252
291,29.0006,27.989099216025235
292,29.1006,28.015455032989582
293,29.2006,28.057892709056812
294,29.3006,28.02843264617713
295,29.4006,28.15561697090953
296,29.5006,28.093443315634964
297,29.6006,28.32979518741335
298,29.7006,28.23794952014332
299,29.8006,27.87157265114642
300,29.9006,28.19393840964208
301,30.0006,28.02897244919264
302,30.1006,28.21213112486173
303,30.2006,28.03836340826829
304,30.3006,28.066760247770237
305,30.4006,27.945088168338795
306,30.5006,28.095892048338897
307,30.6006,28.01503058148522
308,30.7006,28.09802931889882
309,30.8006,27.97127254600532
310,30.9006,27.94351665496682
311,31.0006,27.76482559165492
312,31.1006,28.008914409389533
313,31.2006,28.04427213778314
314,31.3006,28.324963667673853
315,31.4006,28.091544897266743
316,31.5006,28.199207076303004
317,31.6006,28.16540450370495
318,31.7006,28.203988846382714
319,31.8006,28.15442900474992
320,31.9006,27.97010467370093
321,32.0006,28.180426714948638
322,32.1006,28.12020913197223
323,32.2006,28.141915435255946
324,32.3006,28.123561567808505
325,32.4006,28.112746053068886
326,32.5007,28.028500198200412
327,32.6007,28.093669139201797
328,32.7007,27.914564799845618
329,32.8007,27.971243977939377
330,32.9007,28.02597152422268
331,33.0007,27.944754124117715
332,33.1007,27.873629068829956
333,33.2007,28.002898867330924
334,33.3007,27.941194093537785
335,33.4007,27.863337853622173
336,33.5007,28.119668656423986
337,33.6007,27.799848382809632
338,33.7007,27.95797265649519
339,33.8007,27.96660839183598
340,33.9007,27.888856696380277
341,34.0007,27.838873942200237
342,34.1007,27.931324327702388
343,34.2007,27.9506265093543
344,34.3007,27.82896598201497
345,34.4007,27.895823597526665
346,34.5007,27.914593546970448
347,34.6007,27.835050997167414
348,34.7007,27.8530318121053
349,34.8007,27.9162666235182
350,34.9007,27.87664494404785
351,35.0007,27.988997625904343
352,35.1007,27.65915945088134
353,35.2007,27.898092625513534
354,35.3007,27.954589975126815
355,35.4007,27.69364721343547
356,35.5007,27.800982242132783
357,35.6007,27.83615439953705
358,35.7007,27.753066173034508
359,35.8007,27.81971087373773
360,35.9007,27.797257930605884
361,36.0007,27.63693206648952
362,36.1007,27.735832658581312
363,36.2007,27.95075598423024
364,36.3007,27.886718442900868
365,36.4007,27.695642170347973
366,36.5007,27.773154721844044
367,36.6007,27.76692966631034
368,36.7007,27.835737658730874
369,36.8007,27.8127729213103
370,36.9007,27.532265479030553
371,37.0007,27.691140565814948
372,37.1007,27.784767765427734
373,37.2007,27.70061466785676
374,37.3007,27.585287895013646
375,37.4007,27.67557826325715
376,37.5007,27.600551345409244
377,37.6008,27.55436406628844
378,37.7008,27.59672191180706
379,37.8008,27.596442293425014
380,37.9008,27.563699169553512
381,38.0008,27.693621896597968
382,38.1008,27.44523595507618
383,38.2008,27.542737751686435
384,38.3008,27.630136916747578
385,38.4008,27.35885325134729
386,38.5008,27.48829868920086
387,38.6008,27.47899076934164
388,38.7008,27.65547348789358
389,38.8008,27.714415192191076
390,38.9008,27.65113372534282
391,39.0008,27.554805731450784
392,39.1008,27.474533102790055
393,39.2008,27.65703802898419
394,39.3008,27.57739241423313
395,39.4008,27.587519870885178
396,39.5008,27.546583801088293
397,39.6008,27.82563773547132
398,39.7008,27.395015061677007
399,39.8008,27.56495772609758
400,39.9008,27.52672042192203
401,40.0008,27.738269784067842
402,40.1008,27.533546073553214
403,40.2008,27.578245105218787
404,40.3008,27.535321535238612
405,40.4008,27.791246588816545
406,40.5008,27.68895260387499
407,40.6008,27.60428118086037
408,40.7008,27.553860453020494
409,40.8008,27.623306469970792
410,40.9008,27.6722327911969
411,41.0008,27.728311320371052
412,41.1008,27.788977542546228
413,41.2008,27.85593899450923
414,41.3008,27.736230253301077
415,41.4008,27.681849393351307
416,41.5008,27.73293238163584
417,41.6008,27.553072310316466
418,41.7008,27.662344968048604
419,41.8008,28.007480773027766
420,41.9008,28.092243324127857
421,42.0008,28.023272970132744
422,42.1008,27.847024881345778
423,42.2008,27.93031135881359
424,42.3008,28.05363139076182
425,42.4008,27.889899910596984
426,42.5008,27.81109664804691
427,42.6009,27.808052831514647
428,42.7009,27.91987342676522
429,42.8009,27.520875221727287
430,42.9009,27.547680148704007
431,43.0009,27.82408311740983
432,43.1009,27.639932510105425
433,43.2009,27.428816595182578
434,43.3009,27.47426933769944
435,43.4009,27.31866053817564
436,43.5009,27.560197519915146
437,43.6009,27.57099681939986
438,43.7009,27.977007516198945
439,43.8009,27.643152854658794
440,43.9009,27.494358630071105
441,44.0009,27.609929960250646
442,44.1009,27.248061962504107
443,44.2009,27.034848216353765
444,44.3009,27.306575350813326
445,44.4009,27.223282879459102
446,44.5009,27.21020186738168
447,44.6009,27.339978804723273
448,44.7009,27.255587106382325
449,44.8009,27.303958552208957
450,44.9009,27.19592694638594
451,45.0009,27.18904820921464
452,45.1009,27.196344870631957
453,45.2009,27.381970670818486
454,45.3009,27.396553217490386
455,45.4009,27.403131744699174
456,45.5009,27.391376238523
457,45.6009,27.587094888046135
458,45.7009,27.383072316158774
459,45.8009,27.63348024996739
460,45.9009,27.87447348032818
461,46.0009,27.667303602209213
462,46.1009,28.268117354735764
463,46.2009,28.339802948680617
464,46.3009,28.32671614834946
465,46.4009,28.18594848801072
466,46.5009,28.22264763851518
467,46.6009,27.784199367248462
468,46.7009,27.889878092558096
469,46.8009,27.858563211820663
470,46.9009,28.188920739769834
471,47.0009,27.771159293565148
472,47.1009,27.672100488961778
473,47.2009,27.489531797905364
474,47.3009,27.67071360421515
475,47.4009,27.768906046996605
476,47.501,27.851057950303893
477,47.601,27.668257013983244
478,47.701,27.70105129674202
479,47.801,27.931519928927052
480,47.901,27.75500380602512
481,48.001,27.74679952839744
482,48.101,27.633813148656092
483,48.201,27.654814513774003
484,48.301,27.601609951504287
485,48.401,27.748819316576434
486,48.501,27.68408325670624
487,48.601,27.513370547895565
488,48.701,27.595177638826108
489,48.801,27.643532910706924
