Frame,Time (ns),Solvent Accessible Surface Area 1 (2662 at...
1,0.0,9475.809208535025
2,0.1,9951.763709535027
3,0.2,10267.551781784725
4,0.3,10376.41137064188
5,0.4,10269.538230089753
6,0.5,10191.579255384717
7,0.6,10534.902351437215
8,0.7,10226.672817241633
9,0.8,10290.00436328905
10,0.9,10360.846389160273
11,1.0,10288.839054732378
12,1.1,10563.069101689527
13,1.2,10236.256965718707
14,1.3,10367.54097936546
15,1.4,10452.467636390298
16,1.5,10416.593711476227
17,1.6,10376.975794640459
18,1.7,10712.50002103421
19,1.8,10835.43932799374
20,1.9,10670.912107019914
21,2.0,10497.564300030574
22,2.1,10821.377895184682
23,2.2,10571.107949741428
24,2.3,10894.816250729027
25,2.4,10811.302057071982
26,2.5001,10723.984073955668
27,2.6001,10947.542579845263
28,2.7001,10748.203502023895
29,2.8001,10704.914918431494
30,2.9001,10548.8907061714
31,3.0001,10745.623097073812
32,3.1001,10554.725404081415
33,3.2001,10647.691041393193
34,3.3001,10812.93247893945
35,3.4001,11004.705116869232
36,3.5001,10966.06393109349
37,3.6001,10564.555241307815
38,3.7001,10783.247618562656
39,3.8001,10988.231888073065
40,3.9001,10808.47284198624
41,4.0001,10890.863306746018
42,4.1001,10866.620813134368
43,4.2001,10819.229094798957
44,4.3001,10764.961384523363
45,4.4001,10666.320870519226
46,4.5001,10792.358400039648
47,4.6001,10616.82262185436
48,4.7001,10564.318464000526
49,4.8001,10627.92383882843
50,4.9001,10676.023803770078
51,5.0001,10529.494624026258
52,5.1001,10973.406658741114
53,5.2001,10546.430082795676
54,5.3001,10745.48385157907
55,5.4001,10429.250888492752
56,5.5001,10707.714196333354
57,5.6001,10705.727508062835
58,5.7001,10789.124601108746
59,5.8001,10728.838999324149
60,5.9001,10920.865890465819
61,6.0001,10874.772339905046
62,6.1001,10724.288352994932
63,6.2001,10922.46292270435
64,6.3001,11046.103881603189
65,6.4001,10835.242292737386
66,6.5001,11070.831287979801
67,6.6001,10885.905375237411
68,6.7001,10911.180344303066
69,6.8001,10889.735506740148
70,6.9001,10618.630102089093
71,7.0001,10867.560263309271
72,7.1001,10808.70811042478
73,7.2001,10864.774195976472
74,7.3001,10921.64563266551
75,7.4001,10636.873223691711
76,7.5002,11157.475953415104
77,7.6002,10808.133694841885
78,7.7002,10802.83541696543
79,7.8002,10869.757992399762
80,7.9002,10582.33137889177
81,8.0002,10748.964116854984
82,8.1002,10735.691988000957
83,8.2002,10583.651420926357
84,8.3002,10485.099653824707
85,8.4002,11041.161309110947
86,8.5002,10749.950838942694
87,8.6002,10562.24367575311
88,8.7002,10506.812427014023
89,8.8002,10767.05199977377
90,8.9002,10613.04180217964
91,9.0002,10635.269363850059
92,9.1002,10708.86422479757
93,9.2002,10923.80496694894
94,9.3002,11105.108617248534
95,9.4002,11237.112204145362
96,9.5002,11028.786842977452
97,9.6002,11041.788690635172
98,9.7002,11094.008260393766
99,9.8002,10877.307570115034
100,9.9002,10749.044593666007
101,10.0002,10568.149969440989
102,10.1002,10632.07355479298
103,10.2002,10903.126506280623
104,10.3002,10763.268804381642
105,10.4002,10794.034689092501
106,10.5002,10820.306276487043
107,10.6002,10818.06164724709
108,10.7002,10698.338804392613
109,10.8002,10625.210116765233
110,10.9002,10658.733283077969
111,11.0002,10878.01002480126
112,11.1002,10857.469991811347
113,11.2002,10678.817656098016
114,11.3002,10669.98797136491
115,11.4002,11055.904258863162
116,11.5002,11094.690776626881
117,11.6002,10983.907601946139
118,11.7002,10982.717264393876
119,11.8002,10861.558029417269
120,11.9002,10792.314950532163
121,12.0002,10706.531662772564
122,12.1002,10720.777841642226
123,12.2002,10784.891548642703
124,12.3002,11098.594239619908
125,12.4002,10939.89430022203
126,12.5002,11321.715836960344
127,12.6003,11179.426735131019
128,12.7003,11317.207989564131
129,12.8003,11086.369094952564
130,12.9003,11143.02671834728
131,13.0003,11033.766765383007
132,13.1003,11107.066889521064
133,13.2003,11243.049494746196
134,13.3003,11236.043489706719
135,13.4003,10984.816387267523
136,13.5003,11148.185238874756
137,13.6003,11399.110458473424
138,13.7003,11395.812071544604
139,13.8003,11080.457084066162
140,13.9003,11116.292325014756
141,14.0003,10913.411179887984
142,14.1003,10818.192107262761
143,14.2003,10933.221276179123
144,14.3003,10943.541288795399
145,14.4003,11523.219747142366
146,14.5003,11236.932699699073
147,14.6003,10992.95401980229
148,14.7003,10979.525234444223
149,14.8003,11133.62862139222
150,14.9003,11357.236618279072
151,15.0003,11601.948154737296
152,15.1003,11185.338618158836
153,15.2003,11348.872380798224
154,15.3003,11603.025029864599
155,15.4003,11330.429786063294
156,15.5003,11112.033158235574
157,15.6003,11079.626869008802
158,15.7003,11035.761058803502
159,15.8003,11097.562851873608
160,15.9003,11017.051855575228
161,16.0003,11101.736079783337
162,16.1003,10938.850499246884
163,16.2003,10708.00931294341
164,16.3003,10773.570852972243
165,16.4003,10777.725602023409
166,16.5003,10914.721086652135
167,16.6003,10412.370857493126
168,16.7003,10773.974250538584
169,16.8003,10992.193700878128
170,16.9003,10625.895394688216
171,17.0003,10637.741942735598
172,17.1003,10660.531998783617
173,17.2003,10528.352890306738
174,17.3003,10630.764432117472
175,17.4003,10624.902284674488
176,17.5004,10587.651545473083
177,17.6004,10577.39176205342
178,17.7004,10609.018035430394
179,17.8004,10711.714704560225
180,17.9004,10370.402941885599
181,18.0004,10663.82447853086
182,18.1004,10252.17567429329
183,18.2004,10197.029776013855
184,18.3004,10114.198640735789
185,18.4004,10552.152736499662
186,18.5004,10448.794495879347
187,18.6004,10395.125373731164
188,18.7004,10178.652192866912
189,18.8004,10412.19636028925
190,18.9004,10439.763364478453
191,19.0004,10383.988304413426
192,19.1004,10511.715338469034
193,19.2004,10500.340249570152
194,19.3004,10513.111100947475
195,19.4004,10792.881479786942
196,19.5004,10945.103237199846
197,19.6004,10664.96801898104
198,19.7004,10825.202895199462
199,19.8004,10641.593284662677
200,19.9004,10698.7556055551
201,20.0004,10781.920365933545
202,20.1004,10784.66049644678
203,20.2004,10773.904244143732
204,20.3004,10992.712525378382
205,20.4004,10720.296491858835
206,20.5004,10965.270354434067
207,20.6004,10915.063349571135
208,20.7004,11125.665737496212
209,20.8004,10991.815218209826
210,20.9004,11035.903971331933
211,21.0004,10903.276068486086
212,21.1004,11067.515487273155
213,21.2004,11283.488079417044
214,21.3004,11322.107105208439
215,21.4004,10950.436497416813
216,21.5004,11086.350223809774
217,21.6004,11064.903343794447
218,21.7004,11016.132326092371
219,21.8004,11228.609938536523
220,21.9004,10986.551502360837
221,22.0004,10888.044178173155
222,22.1004,10655.331887092885
223,22.2004,10800.579648054341
224,22.3004,10794.046868727655
225,22.4004,10837.679328154969
226,22.5005,11096.920373659925
227,22.6005,10674.943347135277
228,22.7005,10797.364329366854
229,22.8005,11210.613224770581
230,22.9005,10907.977403147028
231,23.0005,10966.721231803524
232,23.1005,10792.938625024684
233,23.2005,10950.073744891059
234,23.3005,10941.400099901557
235,23.4005,10570.528206267303
236,23.5005,10891.341485512343
237,23.6005,10790.77365844182
238,23.7005,10801.753972129583
239,23.8005,10748.056221397375
240,23.9005,10648.876304690728
241,24.0005,10708.794919346352
242,24.1005,10383.75645604182
243,24.2005,10772.558780767637
244,24.3005,10761.39093100304
245,24.4005,10553.913964805079
246,24.5005,10866.807725726134
247,24.6005,10615.815063727765
248,24.7005,10941.603376852387
249,24.8005,10951.853590760771
250,24.9005,10597.869743811476
251,25.0005,10698.500899985174
252,25.1005,10564.398774409687
253,25.2005,10817.570497168423
254,25.3005,10667.787979472767
255,25.4005,10905.83192012115
256,25.5005,10793.548193614777
257,25.6005,10668.06861358636
258,25.7005,10607.545471896816
259,25.8005,10704.213816811396
260,25.9005,10547.345957494324
261,26.0005,10823.821069381764
262,26.1005,10631.397653358143
263,26.2005,10506.45423152475
264,26.3005,10543.635669911628
265,26.4005,10767.68593130772
266,26.5005,10637.998535550629
267,26.6005,10977.46810846668
268,26.7005,10871.589472189431
269,26.8005,10906.561762451081
270,26.9005,10866.791691187726
271,27.0005,10974.846923802652
272,27.1005,10969.744787800726
