Frame,Time (ns),Solvent Accessible Surface Area 2 (3098 at...
1,0.0,9354.805948262696
2,0.1,9484.249549240963
3,0.2,9642.344028733718
4,0.3,9702.846838573181
5,0.4,9646.38641044659
6,0.5,9762.178911056511
7,0.6,9760.618013386294
8,0.7,9795.525296662256
9,0.8,10061.177568339226
10,0.9,10057.721494900281
11,1.0,9906.655961173185
12,1.1,9958.92435661245
13,1.2,9961.696852927997
14,1.3,10120.360922196292
15,1.4,9805.490518949042
16,1.5,9943.801072823693
17,1.6,9905.904931745818
18,1.7,10031.474062220828
19,1.8,9995.32785755887
20,1.9,10052.634270240727
21,2.0,10033.692420937226
22,2.1,9811.55734638701
23,2.2,9911.746603050378
24,2.3,9966.565382037961
25,2.4,10020.531329080826
26,2.5001,10095.326137379003
27,2.6001,9936.273432879241
28,2.7001,10163.074758381323
29,2.8001,9973.400444751713
30,2.9001,9790.388107532068
31,3.0001,9816.921126914687
32,3.1001,10073.144578438463
33,3.2001,9969.844550686805
34,3.3001,10026.170384960855
35,3.4001,9967.609430006043
36,3.5001,9963.699987150792
37,3.6001,9997.529696764155
38,3.7001,9830.03934652081
39,3.8001,10131.12955028685
40,3.9001,10027.836884054776
41,4.0001,10055.670966300637
42,4.1001,9998.101030693326
43,4.2001,9946.755707789538
44,4.3001,9963.255181953364
45,4.4001,10054.070302123817
46,4.5001,9868.611362069156
47,4.6001,9829.312053640413
48,4.7001,9809.228444377106
49,4.8001,9745.016101409801
50,4.9001,9847.844260139513
51,5.0001,9945.249373636774
52,5.1001,9557.959733307984
53,5.2001,9528.114853486066
54,5.3001,9589.711995205618
55,5.4001,9807.492826646265
56,5.5001,10080.967976828137
57,5.6001,10024.743518059066
58,5.7001,9985.998221924869
59,5.8001,10211.593937005358
60,5.9001,10279.777491978764
61,6.0001,10344.454806718744
62,6.1001,10481.40890093058
63,6.2001,10348.998145531988
64,6.3001,10290.397718874472
65,6.4001,10144.400839650529
66,6.5001,10419.917369958132
67,6.6001,10252.093452844128
68,6.7001,10018.339892260412
69,6.8001,10389.986049386596
70,6.9001,10461.716654409856
71,7.0001,10328.07790873355
72,7.1001,10172.185143237588
73,7.2001,10317.704720653051
74,7.3001,10232.656711597221
75,7.4001,10344.223290217888
76,7.5002,10118.550615948036
77,7.6002,10055.853211879383
78,7.7002,10351.603161733725
79,7.8002,10265.040119115847
80,7.9002,10273.36921700827
81,8.0002,10176.08011165009
82,8.1002,9983.147033696287
83,8.2002,10027.312685208488
84,8.3002,10011.860837282626
