"frame","MMGBSA dG Bind"
,
,
,
,
,
,
,
,
,
,
,
1801,
1801,
1801,-100.13
1802,-98.01
1803,-99.91
1804,-97.07
1805,-96.15
1806,-97.46
1807,-108.93
1808,-117.29
1809,-106.23
1810,-124.39
1811,-102.98
1812,-84.29
1813,-110.89
1814,-111.17
1815,-96.29
1816,-103.79
1817,-96.15
1818,-100.44
1819,-101.10
1820,-92.41
1821,-119.42
1822,-83.25
1823,-98.62
1824,-118.28
1825,-129.62
1826,-102.20
1827,-82.48
1828,-79.79
1829,-101.59
1830,-126.15
1831,-85.72
1832,-102.59
1833,-92.48
1834,-111.38
1835,-125.02
1836,-91.65
1837,-106.14
1838,-87.78
1839,-64.32
1840,-120.14
1841,-128.68
1842,-121.65
1843,-115.62
1844,-121.54
1845,-88.49
1846,-98.10
1847,-118.81
1848,-109.04
1849,-98.80
1850,-106.18
1851,-113.71
1852,-119.13
1853,-99.94
1854,-96.48
1855,-111.78
1856,-105.33
1857,-112.50
1858,-108.36
1859,-108.50
1860,-92.50
1861,-101.88
1862,-40.54
1863,-109.34
1864,-122.07
1865,-111.67
1866,-126.27
1867,-122.48
1868,-102.75
1869,-104.00
1870,-80.14
1871,-86.18
1872,-104.49
1873,-88.32
1874,-95.65
1875,-90.91
1876,-99.67
1877,-112.32
1878,-93.68
1879,-104.53
1880,-97.09
1881,-96.43
1882,-120.59
1883,-88.72
1884,-92.40
1885,-91.35
1886,-95.17
1887,-121.23
1888,-130.13
1889,-119.34
1890,-94.77
1891,-97.73
1892,-110.31
1893,-113.14
1894,-97.45
1895,-106.01
1896,-108.21
1897,-103.66
1898,-102.95
1899,-122.81
1900,-79.02
1901,-94.73
1902,-128.26
1903,-122.95
1904,-146.32
1905,-124.01
1906,-111.95
1907,-127.02
1908,-146.28
1909,-127.51
1910,-81.36
1911,-84.76
1912,-121.15
1913,-107.97
1914,-96.35
1915,-121.30
1916,-99.69
1917,-98.30
1918,-92.52
1919,-116.12
1920,-124.92
1921,-64.18
1922,-82.65
1923,-97.56
1924,-110.71
1925,-108.22
1926,-102.59
1927,-106.80
1928,-77.25
1929,-115.58
1930,-114.28
1931,-95.95
1932,-100.98
1933,-94.65
1934,-105.09
1935,-96.52
1936,-111.35
1937,-110.32
1938,-112.23
1939,-99.26
1940,-97.48
1941,-121.98
1942,-111.55
1943,-101.37
1944,-123.74
1945,-87.55
1946,-123.70
1947,-100.66
1948,-100.13
1949,-70.53
1950,-110.64
1951,-71.47
1952,-83.04
1953,-87.69
1954,-101.08
1955,-112.19
1956,-111.01
1957,-129.69
1958,-103.64
1959,22.40
1960,-106.84
1961,-94.62
1962,-79.26
1963,-129.80
1964,-95.27
1965,-82.58
1966,-106.02
1967,-70.77
1968,-97.20
1969,-77.45
1970,-104.79
1971,-111.00
1972,-94.23
1973,-110.16
1974,-108.85
1975,-118.54
1976,-92.64
1977,-108.75
1978,-123.60
1979,-103.39
1980,-145.28
1981,-125.38
1982,-114.43
1983,-127.95
1984,-101.17
1985,-120.01
1986,-98.43
1987,-126.99
1988,-117.05
1989,-99.75
1990,-110.55
1991,-93.51
1992,-128.01
1993,-111.27
1994,-109.95
1995,-129.71
1996,-87.02
1997,-97.05
1998,-117.43
1999,-138.05
2000,-66.87
2001,-97.73
