Frame,Time (ns),RMSD 1 (2673 atoms)
1,0.0,1.4351687180350802e-05
2,0.1,2.2140762882763565
3,0.2,2.7330792058971918
4,0.3,2.758278985532869
5,0.4,2.8568734125808257
6,0.5,3.3107431916059644
7,0.6,3.171956378877921
8,0.7,3.2838779634919715
9,0.8,3.2460039485288035
10,0.9,3.5796091540929496
11,1.0,3.3770380028164215
12,1.1,3.43255225763256
13,1.2,3.706631648522072
14,1.3,3.0704811817014264
15,1.4,2.7496551667676825
16,1.5,2.752933153126099
17,1.6,3.34980912948376
18,1.7,3.816004425298017
19,1.8,3.4638519237583543
20,1.9,3.8259946782772474
21,2.0,3.4731267503391727
22,2.1,4.3760176586579576
23,2.2,3.7518276176329897
24,2.3,3.6835195166245116
25,2.4,3.8537980269886045
26,2.5001,3.5895940720150716
27,2.6001,3.512295193131398
28,2.7001,3.2674173785547107
29,2.8001,3.4220922965854847
30,2.9001,3.566194249180714
31,3.0001,3.8126983653675484
32,3.1001,4.254116557295019
33,3.2001,3.9707351436132035
34,3.3001,4.474330015008085
35,3.4001,4.314756061788759
36,3.5001,4.674502261697627
37,3.6001,4.502993291719909
38,3.7001,4.254422877240855
39,3.8001,4.178887498966071
40,3.9001,4.155425495430787
41,4.0001,4.475331594438488
42,4.1001,4.808870247326423
43,4.2001,5.06272760261101
44,4.3001,4.633281911658442
45,4.4001,5.076969828218021
46,4.5001,5.020007481526532
47,4.6001,5.370713757236665
48,4.7001,5.284360261233819
49,4.8001,4.713694307395071
50,4.9001,4.489544546909312
51,5.0001,4.84583411962772
52,5.1001,5.77311913833658
53,5.2001,5.713408221651438
54,5.3001,6.353785676748146
55,5.4001,6.230666249237723
56,5.5001,6.405383552433684
57,5.6001,6.534096275245134
58,5.7001,6.017974836271513
59,5.8001,6.450198961436743
60,5.9001,6.171412263463118
61,6.0001,6.1253960098527305
62,6.1001,6.294506382233844
63,6.2001,6.003340100446342
64,6.3001,6.164353326742685
65,6.4001,6.063872990471109
66,6.5001,6.261919768357581
67,6.6001,6.529669000456333
68,6.7001,6.64861716407416
69,6.8001,6.318252440159938
70,6.9001,5.968810857526179
71,7.0001,6.279453312525258
72,7.1001,6.707774280838576
73,7.2001,6.671417494888518
74,7.3001,7.295301999526194
75,7.4001,6.813021352842929
76,7.5002,6.244206839845149
77,7.6002,6.336242539430826
78,7.7002,6.003217916683809
79,7.8002,6.355835955208868
80,7.9002,6.178308151844231
81,8.0002,6.463393761771129
82,8.1002,5.68842766753431
83,8.2002,5.519178608768984
84,8.3002,5.7014900154851755
85,8.4002,5.519951806616908
86,8.5002,5.3931788846781
87,8.6002,5.7324854290945915
88,8.7002,5.919259609382561
89,8.8002,5.883322180734295
90,8.9002,5.7407908692756235
91,9.0002,5.723537807893211
92,9.1002,5.888827252926421
93,9.2002,5.8979156422694645
94,9.3002,5.819256284045268
95,9.4002,5.509036142651733
96,9.5002,5.071515253854119
97,9.6002,5.271437790484252
98,9.7002,5.46991535970937
99,9.8002,5.586953925608544
100,9.9002,5.72282299386517
101,10.0002,5.841707594878878
102,10.1002,5.673888249842347
103,10.2002,5.395875650534135
104,10.3002,6.084201377188688
105,10.4002,5.641759277182946
106,10.5002,5.8702502739871605
107,10.6002,5.425838874838692
108,10.7002,5.585155448124623
109,10.8002,5.334349962844116
110,10.9002,5.783418783053819
111,11.0002,5.556253922520505
112,11.1002,5.391559584537197
113,11.2002,6.179809278371913
114,11.3002,5.873174904224635
115,11.4002,5.64612609780455
116,11.5002,6.0210347450287
117,11.6002,5.757599840749752
118,11.7002,6.43673561923767
119,11.8002,5.627870097750889
120,11.9002,5.750033558231423
121,12.0002,6.074449866542999
122,12.1002,6.223570206899335
123,12.2002,6.188296250890558
124,12.3002,6.561981471477026
125,12.4002,6.2493276387198105
126,12.5002,5.899807052076817
127,12.6003,5.682759525215382
128,12.7003,5.966163156531894
129,12.8003,6.094374642754007
130,12.9003,6.318929893685602
131,13.0003,6.504619417428193
132,13.1003,6.331427291761392
133,13.2003,6.583530527556231
134,13.3003,6.002659813336322
135,13.4003,6.183274908828458
136,13.5003,6.384746637793146
137,13.6003,6.57358035878459
138,13.7003,7.1268652084613615
139,13.8003,6.75309137862398
140,13.9003,6.930711663519038
141,14.0003,6.7050099911485885
142,14.1003,6.6511137910868605
143,14.2003,6.4818080101544755
144,14.3003,6.301634217128847
145,14.4003,6.708130229369422
146,14.5003,7.013263470636222
147,14.6003,6.634843396298155
148,14.7003,6.7953324534520485
149,14.8003,6.541348685607507
150,14.9003,6.0538242835488845
151,15.0003,6.299307921767405
152,15.1003,6.740472067940227
153,15.2003,5.686283164694767
154,15.3003,5.617433251684766
155,15.4003,5.939859503107323
156,15.5003,6.876350183989944
157,15.6003,6.010003676593998
158,15.7003,6.029727619584993
159,15.8003,6.175649163216074
160,15.9003,6.045004142862549
161,16.0003,6.78566025441619
162,16.1003,6.845627944993788
163,16.2003,7.14924878631211
164,16.3003,6.538550706997353
165,16.4003,6.226573949050486
166,16.5003,6.073564133867266
167,16.6003,5.155876266230359
168,16.7003,5.827751213053126
169,16.8003,6.025901665191447
170,16.9003,6.308014076872732
171,17.0003,5.856001621989941
172,17.1003,5.963212141865131
173,17.2003,6.040611403398774
174,17.3003,5.3671738744938375
175,17.4003,5.9599590078074725
176,17.5004,5.78080161921832
177,17.6004,6.033189888182054
178,17.7004,5.962912268361357
179,17.8004,6.203996647124093
180,17.9004,6.227059899471187
181,18.0004,6.243622876853923
182,18.1004,6.647969301169653
183,18.2004,6.277217562345535
184,18.3004,6.967939266868454
185,18.4004,6.716491920755826
186,18.5004,7.298299986166337
