"Entry Title","Entry ID","MMGBSA dG Bind"
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1801",208,-39.059189
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1802",209,-40.486936
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1803",210,-39.181599
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1804",211,-39.773668
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1805",212,-38.974723
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1806",213,-39.141054
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1807",214,-39.547657
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1808",215,-39.340168
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1809",216,-39.494338
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1810",217,-42.762399
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1811",218,-43.625696
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1812",219,-37.996932
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1813",220,-42.911754
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1814",221,-37.940926
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1815",222,-38.099083
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1816",223,-42.810431
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1817",224,-39.005555
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1818",225,-42.819807
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1819",226,-38.886962
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1820",227,-39.164590
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1821",228,-39.250472
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1822",229,-42.945347
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1823",230,-42.880260
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1824",231,-34.217042
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1825",232,-37.945939
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1826",233,-38.705806
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1827",234,-38.031630
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1828",235,-37.477539
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1829",236,-42.786123
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1830",237,-42.665084
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1831",238,-37.760167
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1832",239,-38.019740
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1833",240,-39.283681
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1834",241,-42.761834
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1835",242,-38.239647
