"Entry Title","Entry ID","MMGBSA dG Bind"
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1801",3,-83.169862
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1802",4,-80.207596
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1803",5,-78.502370
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1804",6,-77.061637
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1805",7,-75.487101
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1806",8,-81.496910
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1807",9,-80.218555
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1808",10,-78.469297
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1809",11,-82.104854
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1810",12,-78.396516
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1811",13,-78.759698
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1812",14,-80.100853
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1813",15,-78.620776
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1814",16,-78.633796
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1815",17,-80.096640
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1816",18,-78.545138
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1817",19,-80.935580
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1818",20,-79.502410
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1819",21,-78.697739
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1820",22,-78.445331
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1821",23,-80.183070
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1822",24,-80.301462
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1823",25,-80.204007
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1824",26,-82.328586
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1825",27,-80.845630
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1826",28,-82.041534
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1827",29,-78.415420
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1828",30,-78.551701
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1829",31,-78.509190
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1830",32,-78.553841
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1831",33,-78.649040
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1832",34,-78.632030
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1833",35,-82.112026
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1834",36,-78.526960
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1835",37,-79.970601
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1836",38,-78.739309
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1837",39,-78.517024
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1838",40,-79.473988
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1839",41,-78.645068
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1840",42,-81.899050
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1841",43,-80.177873
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1842",44,-80.382073
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1843",45,-82.149342
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1844",46,-82.058298
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1845",47,-79.791976
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1846",48,-79.912823
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1847",49,-81.964430
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1848",50,-75.307895
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1849",51,-78.553408
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1850",52,-80.254087
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1851",53,-82.224596
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1852",54,-78.597988
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1853",55,-77.018188
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1854",56,-80.323800
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1855",57,-81.222314
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1856",58,-88.300216
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1857",59,-78.601500
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1858",60,-78.716854
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1859",61,-80.164766
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1860",62,-75.555759
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1861",63,-75.285062
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1862",64,-79.670781
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1863",65,-82.038882
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1864",66,-78.512789
