Frame,Time (ns),RMSD 1 (14572 atoms)
1,0.0,5.466803400961437e-06
2,0.1,1.6754220332825922
3,0.2,2.0442890069856037
4,0.3,2.0251804334741346
5,0.4,1.9992650094280218
6,0.5,2.1019703739098987
7,0.6,2.2213462683151075
8,0.7,2.145432805646757
9,0.8,2.179166996832442
10,0.9,2.189053417082377
11,1.0,2.3163141274706582
12,1.1,2.230380159819992
13,1.2,2.3318414624917043
14,1.3,2.5296861309204823
15,1.4,2.531724104638491
16,1.5,2.5456304417372
17,1.6,2.404882082835745
18,1.7,2.4670283444756693
19,1.8,2.506523959054954
20,1.9,2.2755173337239802
21,2.0,2.4204476189467825
22,2.1,2.371519293487426
23,2.2,2.5735043450786534
24,2.3,2.4254835078448553
25,2.4,2.3864509582740063
26,2.5001,2.4297510614035147
27,2.6001,2.5569128134306585
28,2.7001,2.6291486666761754
29,2.8001,2.7005825609710685
30,2.9001,2.5128399305562032
31,3.0001,2.5832468983105805
32,3.1001,2.389851467773479
33,3.2001,2.4518366224717134
34,3.3001,2.48963626374274
35,3.4001,2.504054270086714
36,3.5001,2.600363371627194
37,3.6001,2.747869759434191
38,3.7001,2.548737700733316
39,3.8001,2.5478811311578586
40,3.9001,2.7728473955320583
41,4.0001,2.7648215046346216
42,4.1001,2.601459865891269
43,4.2001,2.5676694796811272
44,4.3001,2.7534346064084505
45,4.4001,2.7008854959651654
46,4.5001,2.7986898144349412
47,4.6001,3.017416938061023
48,4.7001,2.56570144247374
49,4.8001,2.692669159696055
50,4.9001,2.8040291107929995
51,5.0001,2.6818312307541694
52,5.1001,2.5901105775987023
53,5.2001,2.6595096634813946
54,5.3001,2.700385378300297
55,5.4001,2.6564272820246466
56,5.5001,2.8306473003617505
57,5.6001,2.747677752502193
58,5.7001,2.496309443483294
59,5.8001,2.6931690333891636
60,5.9001,2.5301993750183174
61,6.0001,2.664968929101893
62,6.1001,2.540841717221304
63,6.2001,2.713517086589489
64,6.3001,2.749378718722806
65,6.4001,2.598751343463715
66,6.5001,2.706168593539635
67,6.6001,2.730828831667155
68,6.7001,2.8881969745169105
69,6.8001,2.8950143111721904
70,6.9001,3.3446455352657494
71,7.0001,3.0542115137061088
72,7.1001,2.920709393449215
73,7.2001,2.966671379512553
74,7.3001,2.829349636678986
75,7.4001,2.880510008955171
76,7.5002,2.8226374895986583
77,7.6002,2.85797386042879
78,7.7002,2.95016679741835
79,7.8002,2.778501041112776
80,7.9002,2.7816313050751496
81,8.0002,2.6910596727551948
82,8.1002,2.9285953678050185
83,8.2002,2.8701048247448124
84,8.3002,2.9145003982483884
85,8.4002,2.8379276383568297
86,8.5002,2.7836120145462036
87,8.6002,2.6343407047831597
88,8.7002,2.6982614303582335
89,8.8002,2.5113975808427496
90,8.9002,2.751602337373441
91,9.0002,2.6999892071201743
92,9.1002,2.5890178467145977
93,9.2002,2.623768968637092
94,9.3002,2.7560956616219174
95,9.4002,2.6893834083588497
96,9.5002,2.8829547208423643
97,9.6002,2.773095731433789
98,9.7002,2.9573276669703596
99,9.8002,2.813374028107727
100,9.9002,2.7715604066149044
101,10.0002,2.6517374262706364
102,10.1002,2.6373265775468373
103,10.2002,2.7313702949304552
104,10.3002,2.885009584986043
105,10.4002,2.84444936125124
106,10.5002,2.922351987986188
107,10.6002,3.0929135888204087
108,10.7002,2.9173613665951224
109,10.8002,2.9740105480262398
110,10.9002,3.102861197890765
111,11.0002,2.8931911691573897
112,11.1002,2.8274558265812253
113,11.2002,2.83986546217129
114,11.3002,2.991045221040417
115,11.4002,2.902040094724555
116,11.5002,2.9509144853805997
117,11.6002,2.702044324554093
118,11.7002,3.00716503909567
119,11.8002,2.950290056534805
120,11.9002,3.109759637415876
121,12.0002,2.9659008684927493
122,12.1002,2.9382861313864197
123,12.2002,2.8089330982532483
124,12.3002,2.7813197664686156
125,12.4002,2.7391272775061526
126,12.5002,2.802111486064413
127,12.6003,2.8253401656700468
128,12.7003,3.021342142159472
129,12.8003,3.115709974824512
130,12.9003,3.0826134189914907
131,13.0003,2.762796312369639
132,13.1003,2.7279444623068776
133,13.2003,2.8732454441230084
134,13.3003,2.798467518786433
135,13.4003,2.8915443473757256
136,13.5003,2.8435775828497056
137,13.6003,2.8211014503020926
138,13.7003,2.927828687543376
139,13.8003,3.0103403832856253
140,13.9003,2.816160493921991
141,14.0003,2.783117463114766
142,14.1003,2.9695550843397793
143,14.2003,2.8768573871163796
144,14.3003,2.931200342077209
145,14.4003,3.1013238662835283
146,14.5003,2.933839373356667
147,14.6003,3.2361228477494373
148,14.7003,3.085766230828854
149,14.8003,2.8786048988508703
150,14.9003,2.882994299502547
151,15.0003,3.0782318840801914
152,15.1003,3.061401477531191
153,15.2003,2.888312966736265
154,15.3003,3.171215529740972
155,15.4003,2.908515938463435
156,15.5003,3.30876759634787
157,15.6003,2.9999045266400524
158,15.7003,3.191421950860941
159,15.8003,3.1103490169577483
160,15.9003,3.0421999904950017
161,16.0003,3.044106642086393
162,16.1003,2.99098696649174
163,16.2003,2.8057476771002867
164,16.3003,2.919318865635183
165,16.4003,3.0257160498670497
166,16.5003,2.9015951536937954
167,16.6003,2.9863855953578535
168,16.7003,2.796800237314085
169,16.8003,3.135191089384918
170,16.9003,3.039728725215851
171,17.0003,3.041451351426029
172,17.1003,2.83645865168728
173,17.2003,2.892096050896564
174,17.3003,2.7798897609473747
175,17.4003,2.9323812908153366
176,17.5004,2.918496096854204
177,17.6004,2.7835915448899775
178,17.7004,3.0314650389561884
179,17.8004,3.2657899115366655
180,17.9004,3.140000886721882
181,18.0004,2.870019294234845
182,18.1004,2.9803893610728114
183,18.2004,3.0505201327010467
184,18.3004,3.1040750322113486
185,18.4004,3.101557780383975
186,18.5004,2.973395132572099
187,18.6004,2.9268875760984128
188,18.7004,2.8542499227554963
189,18.8004,2.8923955365806244
190,18.9004,2.7555579921473314
191,19.0004,2.851668356747803
192,19.1004,2.811204432459668
193,19.2004,3.0438487928351363
194,19.3004,2.9768865478712483
195,19.4004,2.9769308969758965
196,19.5004,3.1128073098670512
197,19.6004,2.9327968652833936
198,19.7004,2.8807626186681503
199,19.8004,3.0701378779839668
200,19.9004,3.138713474553058
201,20.0004,2.958681248099784
202,20.1004,2.810005440969867
203,20.2004,2.888130001182153
204,20.3004,2.879764823284748
205,20.4004,3.0966312716829623
206,20.5004,2.7930555168276228
207,20.6004,2.9651623969670804
208,20.7004,3.086988916964356
209,20.8004,2.9781108345500167
210,20.9004,3.09081499612582
211,21.0004,2.986329928942478
212,21.1004,3.136351374912285
213,21.2004,3.155529946758015
214,21.3004,2.925590330773669
215,21.4004,3.0840314217715226
216,21.5004,2.954613025499831
217,21.6004,3.064212457185992
218,21.7004,2.8215263868526668
219,21.8004,2.8216160927256384
220,21.9004,2.80093000428552
