"Title","MMGBSA dG Bind","MMGBSA dG Bind Coulomb","MMGBSA dG Bind Covalent","MMGBSA dG Bind Hbond","MMGBSA dG Bind Lipo","MMGBSA dG Bind Packing","MMGBSA dG Bind SelfCont","MMGBSA dG Bind Solv GB","MMGBSA dG Bind vdW","frame"
"8WO1",,,,,,,,,,
"8WO1 - preprocessed",,,,,,,,,,
"8WO1 - hbond-opt",,,,,,,,,,
"8WO1_TLR4_prep_maestro",,,,,,,,,,
"4270d91c09c13fb6",,,,,,,,,,
"4270d91c09c13fb6 - preprocessed",,,,,,,,,,
"4270d91c09c13fb6 - hbond-opt",,,,,,,,,,
"fold_peptide1_hpv16_e6_bcell_epitope_model_2_prep_maestro",,,,,,,,,,
"complexo_pose26_docking_8WO1_TLR4_with_fold_peptide1_hpv16_e6_bcell_epitope_model_2",-42.04,-117.20,12.84,-1.43,-12.10,-1.88,0.00,133.73,-55.99,
"complexo_pose26_docking_8WO1_TLR4_with_fold_peptide1_hpv16_e6_bcell_epitope_model_2 - preprocessed",-42.04,-117.20,12.84,-1.43,-12.10,-1.88,0.00,133.73,-55.99,
"complexo_pose26_docking_8WO1_TLR4_with_fold_peptide1_hpv16_e6_bcell_epitope_model_2 - hbond-opt",-42.04,-117.20,12.84,-1.43,-12.10,-1.88,0.00,133.73,-55.99,
"complexo_pose26_docking_8WO1_TLR4_with_fold_peptide1_hpv16_e6_bcell_epitope_model_2 - hbond-opt",-42.04,-117.20,12.84,-1.43,-12.10,-1.88,0.00,133.73,-55.99,
"complexo_A_B_epitope1_8WO1_TLR4",,,,,,,,,,
"complexo_A_B_epitope1_8WO1_TLR4 - preprocessed",,,,,,,,,,
"complexo_A_B_epitope1_8WO1_TLR4 - hbond-opt",,,,,,,,,,
"complexo_A_B_epitope1_8WO1_TLR4 - preprocessed",,,,,,,,,,
"complexo_A_B_epitope1_8WO1_TLR4 - hbond-opt",,,,,,,,,,
"complexo_A_B_epitope1_8WO1_TLR4 - minimized",,,,,,,,,,
"complexo_A_B_epitope1_8WO1_TLR4 - minimized",,,,,,,,,,
"complexo_A_B_epitope1_8WO1_TLR4 - minimized",,,,,,,,,,3801
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3801",,,,,,,,,,3801
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3801",-39.93,-279.62,0.18,-8.06,-1.14,-1.11,0.00,272.77,-22.96,3801
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3802",-29.75,-268.19,1.88,-5.72,-1.66,0.24,0.00,249.89,-6.19,3802
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3803",-33.71,-214.62,-0.79,-5.96,-2.92,-1.12,0.00,216.94,-25.25,3803
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3804",-19.95,-243.26,-1.50,-4.74,-1.15,-2.21,0.00,238.88,-5.98,3804
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3805",-19.45,-268.43,-0.98,-3.41,1.22,-2.67,0.00,266.26,-11.45,3805
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3806",-27.11,-253.75,-0.12,-5.81,-0.43,-0.85,0.00,240.39,-6.54,3806
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3807",-28.31,-235.13,-6.36,-5.96,-1.66,0.97,0.00,229.63,-9.80,3807
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3808",-36.12,-208.99,3.80,-8.64,-2.34,-1.26,0.00,208.90,-27.60,3808
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3809",-26.47,-216.23,1.98,-5.07,-0.97,0.28,0.00,211.49,-17.94,3809
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3810",-32.77,-258.27,4.08,-7.33,-2.38,0.26,0.00,248.95,-18.08,3810
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3811",-10.55,-178.33,-15.07,-3.67,3.26,-2.08,0.00,188.21,-2.86,3811
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3812",-38.33,-193.69,10.30,-7.23,-5.39,-0.14,0.00,209.35,-51.55,3812
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3813",-28.80,-178.12,1.15,-4.85,1.58,-0.65,0.00,175.65,-23.57,3813
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3814",-38.81,-225.22,4.29,-7.13,-2.11,-0.87,0.00,214.62,-22.39,3814
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3815",-22.57,-204.18,-2.47,-4.89,0.88,-3.28,0.00,200.22,-8.85,3815
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3816",-22.44,-213.95,3.75,-4.44,0.05,-3.61,0.00,224.68,-28.92,3816
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3817",-33.05,-254.36,9.89,-6.12,-1.64,-0.84,0.00,255.13,-35.11,3817
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3818",-22.12,-236.01,5.04,-7.85,-2.76,1.11,0.00,231.72,-13.37,3818
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3819",-18.94,-227.11,7.88,-4.28,-3.82,-1.91,0.00,222.02,-11.73,3819
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3820",-21.29,-224.81,-4.97,-6.37,2.05,-1.53,0.00,218.98,-4.65,3820
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3821",-26.48,-234.99,-0.59,-2.41,-1.48,-3.72,0.00,228.02,-11.32,3821
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3822",-25.08,-278.43,7.98,-5.80,0.79,-3.53,0.00,261.93,-8.01,3822
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3823",561.06,-264.24,227.88,-5.92,3.91,-0.97,0.00,253.79,346.61,3823
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3824",-19.56,-177.91,8.85,-4.52,-2.55,-2.98,0.00,173.40,-13.84,3824
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3825",-26.20,-179.68,7.65,-6.55,-2.49,-2.08,0.00,189.95,-33.00,3825
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3826",-11.54,-193.54,3.98,-5.35,1.16,-0.79,0.00,188.46,-5.45,3826
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3827",-30.61,-211.56,7.38,-4.98,-2.42,-0.97,0.00,210.54,-28.59,3827
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3828",-30.76,-241.92,4.88,-8.66,-0.79,-2.93,0.00,242.31,-23.66,3828
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3829",-33.08,-212.28,5.14,-6.66,-2.51,-2.34,0.00,215.06,-29.49,3829
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3830",-25.81,-249.91,16.80,-5.48,-1.19,-0.37,0.00,249.97,-35.62,3830
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3831",-46.57,-240.74,0.91,-6.92,-1.34,-2.29,0.00,230.57,-26.75,3831
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3832",-15.83,-218.85,2.99,-4.91,1.66,0.20,0.00,231.01,-27.94,3832
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3833",-16.46,-230.01,1.11,-3.70,2.17,1.01,0.00,222.72,-9.75,3833
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3834",-37.64,-218.79,9.05,-10.60,-3.02,1.18,0.00,212.75,-28.22,3834
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3835",-21.24,-241.64,6.61,-5.32,-1.49,-0.22,0.00,231.24,-10.42,3835
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3836",-31.85,-184.55,11.26,-4.65,-1.69,-2.09,0.00,183.13,-33.26,3836
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3837",-16.56,-146.28,9.27,-4.01,-1.59,-1.20,0.00,147.16,-19.92,3837
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3838",-15.32,-130.49,6.12,-6.18,-1.85,-0.45,0.00,133.41,-15.88,3838
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3839",-17.21,-139.52,18.83,-5.03,-3.53,0.00,0.00,147.56,-35.52,3839
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3840",-25.91,-144.42,5.87,-3.10,-2.88,-1.26,0.00,142.58,-22.69,3840
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3841",-45.67,-216.40,2.56,-4.41,-5.25,-0.36,0.00,204.57,-26.38,3841
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3842",-21.20,-142.24,9.63,-5.69,-1.57,-1.20,0.00,138.61,-18.73,3842
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3843",-26.03,-156.11,11.24,-4.42,-2.25,-1.65,0.00,150.42,-23.25,3843
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3844",-23.36,-133.54,10.82,-7.15,-3.23,-0.65,0.00,136.68,-26.30,3844
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3845",-16.61,-142.02,6.53,-4.87,-0.89,-1.13,0.00,141.64,-15.86,3845
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3846",-39.69,-179.75,10.35,-7.74,-2.52,0.48,0.00,153.47,-13.98,3846
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3847",-27.70,-139.18,1.97,-3.82,-2.81,0.01,0.00,144.11,-27.98,3847
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3848",-27.06,-168.95,6.67,-4.80,-0.51,-0.11,0.00,156.58,-15.94,3848
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3849",-20.12,-145.45,5.20,-5.92,-0.17,-0.83,0.00,138.75,-11.70,3849
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3850",-12.92,-147.64,-1.59,-2.94,2.68,-1.11,0.00,136.98,0.69,3850
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3851",-16.29,-177.64,-1.11,-3.79,0.76,-0.30,0.00,171.41,-5.62,3851
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3852",-20.34,-181.07,0.34,-4.07,-0.69,-0.85,0.00,180.14,-14.14,3852
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3853",-50.56,-239.34,17.17,-9.03,-2.03,-2.72,0.00,207.21,-21.82,3853
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3854",-51.22,-212.24,14.26,-9.47,-7.90,-4.46,0.00,216.82,-48.23,3854
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3855",-34.58,-201.41,11.53,-5.54,-6.44,-2.81,0.00,217.76,-47.68,3855
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3856",-20.48,-194.41,-6.40,-5.58,5.40,-0.59,0.00,194.90,-13.80,3856
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3857",-27.15,-178.07,1.47,-5.15,-1.69,-0.32,0.00,180.51,-23.89,3857
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3858",-13.71,-185.10,3.15,-4.65,0.30,-0.90,0.00,181.93,-8.43,3858
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3859",-39.38,-215.74,5.85,-6.73,-1.27,-1.40,0.00,206.71,-26.80,3859
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3860",-41.59,-293.31,9.63,-7.03,-2.19,-1.90,0.00,279.25,-26.05,3860
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3861",-30.73,-231.80,10.87,-6.02,-2.40,-1.53,0.00,225.61,-25.45,3861
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3862",-30.40,-241.65,7.43,-7.71,-0.70,0.28,0.00,228.31,-16.36,3862
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3863",-37.95,-220.88,-0.86,-5.34,-0.70,-0.61,0.00,203.34,-12.91,3863
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3864",-4.74,-198.95,-0.85,-5.98,6.98,-0.53,0.00,198.02,-3.41,3864
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3865",-22.80,-194.98,13.03,-5.41,-1.89,-1.13,0.00,183.73,-16.16,3865
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3866",-23.55,-179.46,-0.33,-4.81,-0.96,-0.29,0.00,180.20,-17.88,3866
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3867",-20.74,-136.22,-0.04,-3.97,-0.14,0.46,0.00,136.34,-17.17,3867
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3868",-16.14,-140.19,0.67,-5.18,1.76,-1.37,0.00,140.59,-12.41,3868
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3869",-33.95,-202.02,11.12,-5.19,-4.17,-0.55,0.00,193.41,-26.55,3869
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3870",-30.98,-176.41,2.18,-7.36,0.03,-0.77,0.00,170.56,-19.21,3870
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3871",-36.63,-149.31,-2.39,-3.26,-1.59,-3.47,0.00,147.57,-24.17,3871
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3872",-13.42,-194.21,12.40,-4.92,1.18,0.02,0.00,190.09,-17.99,3872
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3873",-28.39,-182.93,3.14,-5.37,-1.50,0.05,0.00,175.97,-17.74,3873
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3874",-24.38,-205.24,1.70,-5.57,-0.93,-0.04,0.00,207.87,-22.18,3874
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3875",-21.47,-192.53,14.76,-6.33,-1.23,0.37,0.00,181.31,-17.82,3875
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3876",-30.85,-230.39,5.72,-7.23,-1.17,-1.45,0.00,214.19,-10.51,3876
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3877",-24.62,-208.99,0.96,-6.74,-0.37,0.01,0.00,200.35,-9.84,3877
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3878",-26.70,-224.34,9.83,-7.18,-1.03,0.00,0.00,204.24,-8.21,3878
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3879",-38.37,-239.10,8.54,-8.05,-2.10,-1.49,0.00,225.80,-21.98,3879
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3880",-23.93,-215.21,-10.77,-3.91,-0.35,0.76,0.00,219.69,-14.14,3880
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3881",-48.02,-224.24,6.34,-7.64,-5.52,0.66,0.00,206.72,-24.35,3881
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3882",-25.42,-289.22,1.90,-6.36,-0.60,-0.25,0.00,281.66,-12.55,3882
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3883",-31.22,-241.83,-1.37,-7.23,0.29,0.85,0.00,232.80,-14.72,3883
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3884",-37.58,-272.54,7.41,-7.77,-0.99,0.41,0.00,263.99,-28.08,3884
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3885",-32.76,-272.57,1.32,-7.98,-0.46,-0.05,0.00,262.74,-15.76,3885
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3886",-28.11,-205.43,1.37,-7.40,-0.40,1.10,0.00,197.18,-14.52,3886
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3887",-42.88,-278.11,1.56,-8.61,-1.66,1.39,0.00,245.61,-3.06,3887
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3888",0.08,-155.74,2.48,-5.13,3.98,0.95,0.00,163.81,-10.28,3888
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3889",-32.96,-205.90,2.89,-7.25,-4.16,1.32,0.00,207.02,-26.87,3889
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3890",-23.45,-210.06,-2.32,-6.13,-0.66,-0.35,0.00,210.47,-14.40,3890
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3891",-21.01,-228.58,4.89,-7.03,-1.29,-0.45,0.00,232.59,-21.14,3891
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3892",0.65,-199.74,-4.14,-4.41,5.10,0.88,0.00,213.74,-10.78,3892
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3893",-22.44,-255.80,1.77,-6.98,-0.05,-0.01,0.00,244.59,-5.97,3893
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3894",-21.42,-275.27,1.72,-6.35,0.47,-0.08,0.00,278.96,-20.87,3894
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3895",-42.63,-243.78,4.16,-7.10,-1.29,-1.43,0.00,240.20,-33.37,3895
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3896",-2.08,-228.31,-1.71,-4.94,3.26,-0.41,0.00,250.19,-20.17,3896
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3897",-23.35,-230.34,10.89,-5.94,-2.29,-0.11,0.00,235.57,-31.14,3897
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3898",-9.58,-212.77,9.17,-5.61,0.93,0.03,0.00,217.42,-18.75,3898
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3899",-22.81,-209.11,8.50,-5.35,-2.55,0.92,0.00,210.55,-25.75,3899
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3900",-18.41,-258.24,15.33,-5.66,-1.65,0.05,0.00,256.91,-25.16,3900
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3901",-23.68,-234.28,-0.34,-6.99,-0.07,-0.11,0.00,227.21,-9.10,3901
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3902",-18.88,-197.78,-0.36,-5.69,0.89,-0.07,0.00,191.12,-7.01,3902
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3903",-52.72,-248.75,4.99,-7.99,-4.08,-2.74,0.00,230.78,-24.94,3903
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3904",-20.03,-258.11,15.30,-7.64,-2.50,-0.88,0.00,260.51,-26.72,3904
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3905",-25.19,-262.02,5.83,-6.13,-0.81,-0.40,0.00,261.29,-22.95,3905
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3906",-27.11,-240.30,12.45,-5.95,-1.86,0.19,0.00,234.21,-25.84,3906
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3907",-18.78,-226.45,-14.69,-6.45,3.28,0.88,0.00,213.37,11.27,3907
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3908",-35.58,-283.47,16.25,-8.93,-1.81,-0.85,0.00,257.21,-13.99,3908
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3909",-28.12,-232.33,4.32,-8.00,-2.43,-0.74,0.00,235.91,-24.85,3909
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3910",-12.07,-232.42,1.04,-5.02,0.06,0.38,0.00,235.10,-11.22,3910
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3911",-27.90,-250.34,18.69,-6.49,-3.61,-3.00,0.00,265.55,-48.70,3911
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3912",-39.95,-272.24,10.27,-7.80,-2.56,-1.77,0.00,272.12,-37.97,3912
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3913",-9.96,-260.35,-3.84,-3.99,3.74,0.52,0.00,262.94,-8.97,3913
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3914",-28.23,-284.54,1.89,-7.50,0.04,-0.73,0.00,279.40,-16.77,3914
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3915",-9.93,-225.51,-6.80,-4.58,1.25,-1.54,0.00,237.53,-10.28,3915
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3916",-41.99,-307.13,20.89,-8.86,-4.86,-3.32,0.00,286.96,-25.68,3916
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3917",-14.69,-223.35,1.61,-6.14,0.64,0.27,0.00,231.42,-19.14,3917
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3918",-9.36,-253.50,5.57,-6.78,3.20,1.62,0.00,258.17,-17.65,3918
