"frame","MMGBSA dG Bind","MMGBSA dG Bind Coulomb","MMGBSA dG Bind Covalent","MMGBSA dG Bind Hbond","MMGBSA dG Bind Lipo","MMGBSA dG Bind Packing","MMGBSA dG Bind SelfCont","MMGBSA dG Bind Solv GB","MMGBSA dG Bind vdW"
3994,-126.71,-138.52,14.34,-7.07,-17.14,-4.04,0.00,107.85,-82.14
3873,-123.43,-159.83,10.39,-7.30,-18.72,-6.31,0.00,143.79,-85.46
3988,-122.17,-158.21,1.61,-6.31,-17.61,-6.74,0.00,140.53,-75.44
3991,-121.88,-134.08,3.69,-5.66,-18.97,-5.55,0.00,118.53,-79.84
3990,-121.31,-136.39,9.55,-7.83,-18.35,-5.05,0.00,120.25,-83.50
3972,-121.03,-146.92,4.31,-5.20,-19.71,-5.62,0.00,134.99,-82.88
3989,-119.23,-150.87,6.97,-7.68,-18.56,-5.98,0.00,142.64,-85.74
3940,-118.89,-145.50,15.31,-6.33,-18.77,-4.86,0.00,123.70,-82.43
3945,-118.62,-156.87,4.54,-7.18,-18.13,-6.08,0.00,141.44,-76.34
3993,-118.45,-125.07,2.95,-4.52,-18.66,-4.93,0.00,109.11,-77.32
3976,-117.93,-115.25,-1.94,-4.02,-20.50,-5.48,0.00,114.37,-85.10
3997,-117.69,-124.11,0.24,-4.58,-16.65,-5.62,0.00,108.84,-75.81
3850,-117.62,-109.97,1.96,-4.67,-18.14,-3.49,0.00,91.73,-75.04
3869,-117.59,-107.61,1.67,-4.60,-18.90,-6.58,0.00,104.63,-86.19
3996,-117.31,-106.48,2.46,-3.96,-18.35,-4.47,0.00,92.68,-79.19
3852,-117.17,-144.21,2.31,-6.61,-17.42,-4.48,0.00,124.38,-71.15
3834,-116.94,-133.14,9.35,-6.37,-18.18,-5.22,0.00,118.58,-81.96
3985,-116.36,-125.86,5.08,-5.57,-19.60,-6.24,0.00,116.08,-80.24
3830,-116.24,-126.22,6.13,-6.11,-17.78,-4.97,0.00,107.66,-74.96
3801,-116.22,-146.32,7.35,-5.34,-17.89,-5.77,0.00,136.63,-84.88
3925,-115.89,-121.86,5.32,-5.49,-17.87,-4.32,0.00,107.00,-78.67
4001,-115.87,-101.14,0.16,-2.77,-18.60,-6.59,0.00,102.49,-89.41
3866,-115.62,-121.18,3.21,-4.45,-18.10,-5.00,0.00,107.10,-77.20
3838,-115.56,-134.14,6.40,-6.22,-17.50,-5.05,0.00,117.57,-76.62
3851,-115.49,-144.23,9.71,-5.77,-18.85,-5.34,0.00,128.70,-79.73
3987,-115.05,-133.49,1.62,-6.96,-18.04,-7.10,0.00,135.03,-86.11
3978,-115.04,-131.40,1.00,-5.11,-18.72,-5.39,0.00,128.46,-83.89
3810,-115.02,-146.47,5.60,-6.85,-19.69,-6.05,0.00,148.01,-89.56
3992,-114.68,-123.01,8.19,-5.93,-19.13,-4.24,0.00,105.96,-76.51
3887,-114.59,-168.00,16.64,-8.47,-17.49,-4.93,0.00,148.08,-80.41
3889,-114.17,-134.60,4.42,-5.54,-17.00,-5.49,0.00,129.91,-85.86
3831,-114.05,-121.80,0.80,-5.33,-17.14,-3.88,0.00,107.92,-74.63
3946,-113.89,-147.34,8.07,-8.20,-15.48,-5.34,0.00,125.42,-71.02
3843,-113.76,-134.77,-0.20,-5.78,-18.05,-4.91,0.00,125.57,-75.60
3802,-113.60,-143.69,1.45,-6.22,-18.96,-5.45,0.00,141.81,-82.53
3896,-113.57,-143.84,10.47,-6.33,-16.74,-4.98,0.00,123.75,-75.89
3815,-113.50,-137.61,9.07,-6.54,-19.04,-5.65,0.00,134.46,-88.19
3888,-113.43,-124.70,5.74,-3.43,-16.68,-5.21,0.00,115.09,-84.24
3870,-113.28,-111.69,-0.87,-4.00,-17.21,-6.00,0.00,102.92,-76.43
3892,-113.18,-134.41,3.30,-4.39,-16.85,-6.73,0.00,124.18,-78.27
3947,-113.17,-157.32,5.74,-6.99,-18.27,-5.04,0.00,149.40,-80.69
3846,-113.11,-147.93,10.33,-6.36,-17.64,-5.67,0.00,132.77,-78.61
3812,-113.10,-142.58,4.38,-5.29,-19.37,-6.19,0.00,138.19,-82.25
3872,-112.89,-133.68,8.03,-5.55,-19.67,-6.34,0.00,127.09,-82.78
3926,-112.80,-113.00,4.34,-4.56,-18.20,-4.32,0.00,100.38,-77.44
3967,-112.78,-150.69,7.74,-6.25,-18.16,-6.91,0.00,149.38,-87.89
3806,-112.76,-142.14,8.54,-7.17,-20.06,-6.54,0.00,149.22,-94.62
3894,-112.60,-116.36,2.65,-4.60,-16.94,-5.06,0.00,111.53,-83.82
3874,-112.43,-123.79,6.35,-6.68,-18.49,-6.50,0.00,120.38,-83.70
3950,-112.41,-123.99,0.50,-6.74,-17.28,-4.77,0.00,110.02,-70.15
3895,-112.33,-114.04,8.86,-7.63,-16.48,-4.94,0.00,100.48,-78.58
3952,-112.32,-146.39,4.71,-6.24,-17.94,-5.03,0.00,127.78,-69.20
3814,-112.18,-147.52,13.69,-7.32,-17.22,-5.85,0.00,136.23,-84.20
3898,-112.17,-125.44,4.54,-5.03,-17.87,-5.50,0.00,112.56,-75.43
3827,-112.16,-136.56,6.89,-5.85,-19.10,-6.59,0.00,132.78,-83.73
