"MMGBSA dG Bind","MMGBSA dG Bind Coulomb","MMGBSA dG Bind Covalent","MMGBSA dG Bind Hbond","MMGBSA dG Bind Lipo","MMGBSA dG Bind Packing","MMGBSA dG Bind SelfCont","MMGBSA dG Bind Solv GB","MMGBSA dG Bind vdW","frame"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,3801
-87.25,-26.18,5.20,-2.99,-30.84,-0.78,0.00,33.61,-65.27,3801
-85.15,-24.10,4.54,-2.98,-30.15,-1.70,0.01,32.63,-63.39,3802
-76.88,-2.21,4.68,-2.55,-29.80,-1.94,0.03,20.72,-65.80,3803
-85.59,-9.86,3.08,-2.48,-32.40,-2.03,0.04,25.15,-67.08,3804
-70.87,-8.00,2.78,-3.12,-27.64,-2.13,0.00,25.99,-58.76,3805
-82.59,-26.73,7.35,-4.13,-28.42,-1.73,-0.00,31.45,-60.38,3806
-77.22,-17.79,0.03,-3.63,-27.65,-2.21,0.00,35.63,-61.60,3807
-75.68,-18.29,5.30,-2.71,-28.97,-2.25,0.00,28.89,-57.65,3808
929.78,-0.70,197.25,-0.44,-24.55,-3.61,0.00,40.18,721.66,3809
-83.72,-30.20,3.90,-4.16,-27.31,-2.00,0.00,34.44,-58.38,3810
-77.26,-11.14,3.43,-2.69,-29.27,-1.61,0.01,21.87,-57.86,3811
-74.23,-21.72,3.26,-3.12,-27.71,-2.03,0.01,33.92,-56.83,3812
-38.73,7.85,7.18,-2.50,-22.59,-1.60,-0.00,14.30,-41.38,3813
-38.68,-14.81,6.65,-3.01,-19.81,-2.03,-0.01,29.89,-35.56,3814
-39.78,-0.09,3.39,-1.91,-17.03,-3.41,-0.00,15.01,-35.74,3815
-91.15,-25.28,6.10,-3.83,-31.53,-2.85,-0.02,31.90,-65.65,3816
-89.45,-26.12,4.83,-3.35,-30.53,-2.48,0.00,32.33,-64.12,3817
-86.08,-24.74,8.12,-4.00,-31.70,-2.91,0.01,33.82,-64.68,3818
-86.13,-22.70,5.30,-3.36,-31.36,-2.45,-0.00,34.31,-65.86,3819
-99.23,-29.43,8.78,-4.34,-33.01,-2.49,-0.03,26.99,-65.69,3820
-88.98,-17.99,12.23,-4.37,-33.24,-2.31,0.01,20.15,-63.45,3821
-81.46,-24.28,7.14,-2.83,-30.07,-1.47,-0.00,32.61,-62.55,3822
-85.66,-27.07,5.03,-3.10,-30.79,-1.49,0.01,35.62,-63.86,3823
-81.33,-25.65,9.12,-3.47,-29.79,-1.85,-0.01,31.78,-61.46,3824
-86.39,-30.05,12.23,-3.93,-32.56,-2.55,0.05,36.84,-66.42,3825
-80.64,-17.05,9.72,-2.92,-31.18,-1.87,0.02,31.07,-68.43,3826
-77.40,-11.14,10.37,-2.11,-29.61,-2.87,0.02,23.22,-65.28,3827
-85.08,-22.05,9.26,-2.86,-31.82,-0.62,0.03,25.79,-62.81,3828
-90.06,-44.80,12.45,-4.31,-33.18,-2.15,0.03,51.06,-69.17,3829
24.93,-25.39,121.98,-2.23,-31.77,-1.48,0.01,24.85,-61.05,3830
-85.47,-24.74,7.58,-2.72,-31.31,-2.47,0.02,32.14,-63.97,3831
