Frame,Time (ns),Radius of Gyration
1,0.0,9.0688962380273
2,0.100002,9.194854029334362
3,0.200004,9.599308561507303
4,0.30000600000000005,9.718480432811706
5,0.400008,9.334714967209454
6,0.50001,9.278867218697352
7,0.6000120000000001,9.422049247864614
8,0.700014,9.346220177243787
9,0.800016,9.444582844509453
10,0.900018,9.158116461724253
11,1.00002,9.067347731640885
12,1.1000219999999998,9.018956363629709
13,1.2000240000000002,9.304051067452395
14,1.3000260000000001,9.194032599532417
15,1.400028,9.23366057632604
16,1.50003,9.346331753472755
17,1.600032,9.142182357997006
18,1.700034,9.30426428942944
19,1.800036,8.99780561051384
20,1.9000380000000001,8.828804718492572
21,2.00004,8.980824270074764
22,2.1000419999999997,8.878737727542218
23,2.2000439999999997,8.796029228816774
24,2.300046,8.905876822429478
25,2.4000480000000004,8.620438768340325
26,2.5000500000000003,8.64440792472557
27,2.6000520000000003,8.596693707452568
28,2.700054,8.91228083600323
29,2.800056,8.643673828449053
30,2.900058,8.67704634724356
31,3.00006,8.921315811099301
32,3.100062,8.925032684995477
33,3.200064,8.801541180130785
34,3.300066,9.025583819237424
35,3.400068,8.812958660233164
36,3.50007,8.69750452901606
37,3.600072,8.467849666190116
38,3.700074,8.389692579659187
39,3.8000760000000002,8.490039115607965
40,3.900078,8.735108350971547
41,4.00008,8.683671306189247
42,4.1000820000000004,8.588267996894492
43,4.2000839999999995,8.657760894584074
44,4.300086,8.63920825542459
45,4.400087999999999,8.58001435172043
46,4.50009,8.408335047204904
47,4.600092,8.420400609436033
48,4.700094,8.485515107775399
49,4.800096000000001,8.63665113919081
50,4.900098,8.698904092798982
51,5.000100000000001,9.063924781449632
52,5.100102,8.879790020887539
53,5.2001040000000005,8.79191081451401
54,5.3001059999999995,8.841300611604266
55,5.400108,8.811735094071226
56,5.500109999999999,8.609704792254876
57,5.600112,9.009441488927168
58,5.700114,8.481096518227238
59,5.800116,8.66059632284786
60,5.900118,8.61788894673707
61,6.00012,8.435776991174524
62,6.100122000000001,8.480644889443962
63,6.200124,8.48175952245823
64,6.300126000000001,8.441212180585271
65,6.400128,8.525514095855375
66,6.50013,8.498802584280492
67,6.600132,8.740051585524778
68,6.700134,8.639399397499819
69,6.800136,8.584799815692223
70,6.900138,8.430040653712421
71,7.00014,8.819780501369381
72,7.100142,8.537174030184117
73,7.200144,8.61087781332263
74,7.300146,8.426418242767864
75,7.400148,8.700840849684697
76,7.5001500000000005,8.372549963028904
77,7.6001520000000005,8.552760944928117
78,7.700154,8.674786894090246
79,7.800156,8.548303744115714
80,7.900158,8.597757503196618
81,8.00016,8.707601557363322
82,8.100162000000001,8.829973879287959
83,8.200164000000001,8.660958655839716
84,8.300166,8.850919831481395
85,8.400167999999999,8.910789858474455
86,8.50017,8.809698743961935
87,8.600172,8.90336691484343
88,8.700174,8.749226428521538
89,8.800175999999999,8.802285722767465
90,8.900178,8.582838896702897
91,9.00018,8.855572019209813
92,9.100182,8.610413323557953
93,9.200184,8.31370467184477
94,9.300186,8.517220161428627
95,9.400188,8.565842959168428
96,9.50019,8.597338666583461
97,9.600192000000002,8.605630074107408
98,9.700194,8.733069141386553
99,9.800196,8.741474466417923
100,9.900198,8.624776970553103
101,10.000200000000001,8.76218476716049
102,10.100202,8.816429784410774
103,10.200204,8.751484968083489
104,10.300206,8.686149777668335
105,10.400208000000001,8.660196080827022
106,10.500210000000001,8.743756660694283
107,10.600211999999999,8.71539195171751
108,10.700214,8.732255960301718
109,10.800216,9.014757210443905
110,10.900218,8.620874840257134
111,11.000219999999999,8.680640207504556
112,11.100222,8.64373376976271
113,11.200224,8.715632883925016
114,11.300226,8.730751699611766
115,11.400228,8.721532599431038
116,11.50023,9.03795726843281
117,11.600232,8.820715583070914
118,11.700234,8.76219840948565
119,11.800236,8.853543210612091
120,11.900238,8.704711223900965
121,12.00024,8.883235523474184
122,12.100242,8.959986577781505
123,12.200244000000001,8.831492638384647
124,12.300246000000001,8.780826201580604
125,12.400248,8.905508842865483
126,12.50025,8.881870481893278
127,12.600252000000001,8.739489649025325
128,12.700254000000001,8.846342318631526
129,12.800256,8.75542444691412
130,12.900258,8.793984926335158
131,13.00026,9.09855040800825
132,13.100262,8.880342738762566
133,13.200264,8.915468006313997
134,13.300265999999999,8.783887222283886
135,13.400268,8.623400654063913
136,13.50027,8.494400252757197
137,13.600272,8.597011276687077
138,13.700274,8.638129881455349
139,13.800276,8.775372028210201
140,13.900278,8.728372686074408
141,14.00028,8.727496624490795
142,14.100282000000002,8.645076436806585
143,14.200284,8.625571049390274
144,14.300286,8.79402736683057
145,14.400288,8.56293486258805
146,14.500290000000001,8.830749725806339
147,14.600292,8.565019110352072
148,14.700294,8.63703333543488
149,14.800296,8.485832650450755
150,14.900298000000001,8.911996658359797
151,15.000300000000001,8.684868261436613
152,15.100302,8.498077028996946
153,15.200304000000001,8.724764459308817
154,15.300306,8.62724023327965
155,15.400308,8.591927399881548
156,15.500309999999999,8.670865872340348
157,15.600312,8.615637357755723
158,15.700314,8.673584840544388
159,15.800316,8.798142265940367
160,15.900318,8.737048130231567
161,16.00032,8.773968907913375
162,16.100322,8.764455678288018
163,16.200324000000002,8.785226454801567
164,16.300326000000002,8.635067733874603
165,16.400328000000002,8.640895706665637
166,16.50033,8.781043163356014
167,16.600332,8.948542063080852
168,16.700333999999998,8.816628850455464
169,16.800335999999998,8.631487036569416
170,16.900338,8.603297675568667
171,17.00034,8.788672687607354
172,17.100342,8.615805683288928
173,17.200344,8.710077611515063
174,17.300346,8.786107384758099
175,17.400348,8.603489902664093
176,17.50035,8.592583906947342
177,17.600351999999997,8.780349164835634
178,17.700354,8.752587005756883
179,17.800356,8.562774672271658
180,17.900358,8.891377872661932
181,18.00036,8.714939843894587
182,18.100362,8.658908715168776
183,18.200364,8.795006862704032
184,18.300366,8.725856652097866
185,18.400368,8.650444896922732
186,18.50037,8.79990315510801
187,18.600372,8.76950766412063
188,18.700374,8.739465682478038
189,18.800376,8.610952761325985
190,18.900378,8.510229660866614
191,19.00038,8.76572449424338
192,19.100382,8.583192144020654
193,19.200384000000003,8.61141654173116
194,19.300386,8.605844419076469
195,19.400388,8.58730467569796
196,19.50039,8.55908391399027
197,19.600392,8.757359838345678
198,19.700394,8.801947982685327
199,19.800396,8.76541871170721
200,19.900398000000003,8.812591577665135
201,20.000400000000003,8.578684648286314
202,20.100402000000003,8.669838260649765
203,20.200404,8.705243127037024
204,20.300406,8.682433458271465
205,20.400408,8.703134291477726
206,20.50041,8.825649965345484
207,20.600412,8.887667827339632
208,20.700414000000002,8.668933466298734
209,20.800416000000002,8.658405274789956
210,20.900418000000002,8.893092298484754
211,21.000420000000002,8.889131341552545
212,21.100422,8.682602353884022
213,21.200423999999998,8.805152330799643
214,21.300425999999998,8.813449513567207
215,21.400428,8.81462619671883
216,21.50043,8.386983829679568
217,21.600432,8.651727562833832
218,21.700434,8.505580424303279
219,21.800436,8.815614538089461
220,21.900438,8.608002523304405
221,22.000439999999998,8.411865579502024
222,22.100441999999997,8.777319995708535
223,22.200444,8.417588429838618
224,22.300446,8.524135501564304
225,22.400448,8.485499354094253
226,22.50045,8.552079774430808
227,22.600452,8.730865372529152
228,22.700454,8.647121456598208
229,22.800456,8.739789437459379
230,22.900458,8.83353516544319
231,23.00046,8.881204379512095
232,23.100462,8.863337915780454
233,23.200464,8.80411292236129
234,23.300466,8.713692410686997
235,23.400468,8.790533403457596
236,23.50047,8.736992380802487
237,23.600472,8.61556673170475
238,23.700474000000003,8.464490601475866
239,23.800476,8.497407752900873
240,23.900478,8.500024759053794
241,24.00048,8.516754553231607
242,24.100482,8.504629697147722
243,24.200484,8.356299686319158
244,24.300486,8.59844405927135
245,24.400488000000003,8.621418766454676
246,24.500490000000003,8.618792351401792
247,24.600492000000003,8.66421958555583
248,24.700494,8.433089075874431
249,24.800496,8.333110265468676
250,24.900498,8.541137503077353
251,25.0005,8.32938580839544
252,25.100502,8.427759305574511
253,25.200504000000002,8.6157910024482
254,25.300506000000002,8.539045159179114
255,25.400508000000002,8.5400546812823
256,25.500510000000002,8.644561225697121
257,25.600512,8.52266672850731
258,25.700514,8.629927438099264
259,25.800516,8.57421334737218
260,25.900518,8.71996413981699
261,26.00052,8.899486610003459
262,26.100522,8.496243935602418
263,26.200524,8.764102642645982
264,26.300526,8.571554456557873
265,26.400528,8.556276084402667
266,26.500529999999998,8.573393508814652
267,26.600531999999998,8.587384930663951
268,26.700534,8.69791371154325
269,26.800536,8.62254929310538
270,26.900538,8.614308876021717
271,27.00054,8.43609150988045
272,27.100542,8.578761254541963
273,27.200544,8.369591253550704
274,27.300546,8.49504702294222
275,27.400548,8.555571607645238
276,27.50055,8.607188532776126
277,27.600552,8.451101635104546
278,27.700554,8.462005694893346
279,27.800556,8.42813573590853
280,27.900558,8.684791954175747
281,28.00056,8.463040309138588
282,28.100562,8.636278349295571
283,28.200564000000004,8.621126975987849
