Frame,Time (ns),Solvent accessible surface area
1,0.0,26279.755291392394
2,0.100002,26592.828419085614
3,0.200004,26630.18443167143
4,0.30000600000000005,26312.244639197845
5,0.400008,26463.31876299352
6,0.50001,26201.98273565792
7,0.6000120000000001,26573.056843901213
8,0.700014,26624.875258302363
9,0.800016,26358.251991938756
10,0.900018,26806.615018210003
11,1.00002,26845.633023751758
12,1.1000219999999998,26786.398521440362
13,1.2000240000000002,26726.223314610863
14,1.3000260000000001,26683.56010867672
15,1.400028,26863.481109496737
16,1.50003,26719.797287983787
17,1.600032,26815.559481202137
18,1.700034,26953.036813090872
19,1.800036,27358.6430437651
20,1.9000380000000001,27294.18825027317
21,2.00004,27473.395045344223
22,2.1000419999999997,26795.3709614068
23,2.2000439999999997,26747.687032608148
24,2.300046,26888.971943514673
25,2.4000480000000004,27092.04132502083
26,2.5000500000000003,26879.031765859036
27,2.6000520000000003,26807.095856991287
28,2.700054,26513.59741158409
29,2.800056,26932.510425940385
30,2.900058,27284.016510073292
31,3.00006,26722.935179101576
32,3.100062,26801.904444656328
33,3.200064,27372.095919816802
34,3.300066,27634.942637924316
35,3.400068,27098.142324579236
36,3.50007,27204.454206353697
37,3.600072,27183.763410288775
38,3.700074,27190.027587767967
39,3.8000760000000002,26788.36684442942
40,3.900078,26632.554950983755
41,4.00008,26855.933165769104
42,4.1000820000000004,27120.24072378898
43,4.2000839999999995,27137.077394624077
44,4.300086,27355.343089110705
45,4.400087999999999,27108.856276273636
46,4.50009,26719.088645446267
47,4.600092,26958.71928118539
48,4.700094,27760.991501242563
49,4.800096000000001,27093.57209592806
50,4.900098,26937.720955772234
51,5.000100000000001,27035.97149924642
52,5.100102,27107.943583034237
53,5.2001040000000005,26831.007993670264
54,5.3001059999999995,26963.824255400177
55,5.400108,26673.288699315584
56,5.500109999999999,26918.482954487947
57,5.600112,26822.268964142168
58,5.700114,26706.524894514183
59,5.800116,26854.308315878945
60,5.900118,26942.715304091198
61,6.00012,26815.024006508724
62,6.100122000000001,26794.40548490158
63,6.200124,26759.36400808568
64,6.300126000000001,26783.220089837065
65,6.400128,26689.258582061215
66,6.50013,26758.371275055684
67,6.600132,26681.577095649827
68,6.700134,26647.31109631528
69,6.800136,26646.090100653204
70,6.900138,26939.96998018049
71,7.00014,26535.411707165375
72,7.100142,26463.060220270723
73,7.200144,26814.880841687584
74,7.300146,26931.168731993002
75,7.400148,26861.96030267552
76,7.5001500000000005,26664.789238730584
77,7.6001520000000005,26867.97861671339
78,7.700154,27066.57077893412
79,7.800156,26916.569125758484
80,7.900158,26951.597328575528
81,8.00016,26615.126977290478
82,8.100162000000001,26755.539631646196
83,8.200164000000001,26741.171843111653
84,8.300166,26711.868361894678
