"Title","MMGBSA dG Bind","MMGBSA dG Bind Coulomb","MMGBSA dG Bind Covalent","MMGBSA dG Bind Hbond","MMGBSA dG Bind Lipo","MMGBSA dG Bind Packing","MMGBSA dG Bind SelfCont","MMGBSA dG Bind Solv GB","MMGBSA dG Bind vdW"
"8WO1",,,,,,,,,
"8WO1 - preprocessed",,,,,,,,,
"8WO1 - hbond-opt",,,,,,,,,
"8WO1_TLR4_prep_maestro",,,,,,,,,
"4270d91c09c13fb6",,,,,,,,,
"4270d91c09c13fb6 - preprocessed",,,,,,,,,
"4270d91c09c13fb6 - hbond-opt",,,,,,,,,
"fold_peptide1_hpv16_e6_bcell_epitope_model_2_prep_maestro",,,,,,,,,
"docking_8WO1_TLR4_with_fold_peptide1_hpv16_e6_bcell_epitope_model_2_pose_1",,,,,,,,,
"docking_8WO1_TLR4_with_fold_peptide1_hpv16_e6_bcell_epitope_model_2_pose_2",,,,,,,,,
"docking_8WO1_TLR4_with_fold_peptide1_hpv16_e6_bcell_epitope_model_2_pose_3",,,,,,,,,
"docking_8WO1_TLR4_with_fold_peptide1_hpv16_e6_bcell_epitope_model_2_pose_4",,,,,,,,,
"docking_8WO1_TLR4_with_fold_peptide1_hpv16_e6_bcell_epitope_model_2_pose_5",,,,,,,,,
"docking_8WO1_TLR4_with_fold_peptide1_hpv16_e6_bcell_epitope_model_2_pose_6",,,,,,,,,
"docking_8WO1_TLR4_with_fold_peptide1_hpv16_e6_bcell_epitope_model_2_pose_7",,,,,,,,,
"docking_8WO1_TLR4_with_fold_peptide1_hpv16_e6_bcell_epitope_model_2_pose_8",,,,,,,,,
"docking_8WO1_TLR4_with_fold_peptide1_hpv16_e6_bcell_epitope_model_2_pose_9",,,,,,,,,
"docking_8WO1_TLR4_with_fold_peptide1_hpv16_e6_bcell_epitope_model_2_pose_10",,,,,,,,,
"docking_8WO1_TLR4_with_fold_peptide1_hpv16_e6_bcell_epitope_model_2_pose_11",,,,,,,,,
"docking_8WO1_TLR4_with_fold_peptide1_hpv16_e6_bcell_epitope_model_2_pose_12",,,,,,,,,
"docking_8WO1_TLR4_with_fold_peptide1_hpv16_e6_bcell_epitope_model_2_pose_13",,,,,,,,,
"docking_8WO1_TLR4_with_fold_peptide1_hpv16_e6_bcell_epitope_model_2_pose_14",,,,,,,,,
"docking_8WO1_TLR4_with_fold_peptide1_hpv16_e6_bcell_epitope_model_2_pose_15",,,,,,,,,
"docking_8WO1_TLR4_with_fold_peptide1_hpv16_e6_bcell_epitope_model_2_pose_16",,,,,,,,,
"docking_8WO1_TLR4_with_fold_peptide1_hpv16_e6_bcell_epitope_model_2_pose_17",,,,,,,,,
"docking_8WO1_TLR4_with_fold_peptide1_hpv16_e6_bcell_epitope_model_2_pose_18",,,,,,,,,
"docking_8WO1_TLR4_with_fold_peptide1_hpv16_e6_bcell_epitope_model_2_pose_19",,,,,,,,,
"docking_8WO1_TLR4_with_fold_peptide1_hpv16_e6_bcell_epitope_model_2_pose_20",,,,,,,,,
"docking_8WO1_TLR4_with_fold_peptide1_hpv16_e6_bcell_epitope_model_2_pose_21",,,,,,,,,
"docking_8WO1_TLR4_with_fold_peptide1_hpv16_e6_bcell_epitope_model_2_pose_22",,,,,,,,,
"docking_8WO1_TLR4_with_fold_peptide1_hpv16_e6_bcell_epitope_model_2_pose_23",,,,,,,,,
"docking_8WO1_TLR4_with_fold_peptide1_hpv16_e6_bcell_epitope_model_2_pose_24",,,,,,,,,
"docking_8WO1_TLR4_with_fold_peptide1_hpv16_e6_bcell_epitope_model_2_pose_25",,,,,,,,,
"docking_8WO1_TLR4_with_fold_peptide1_hpv16_e6_bcell_epitope_model_2_pose_26",,,,,,,,,
"docking_8WO1_TLR4_with_fold_peptide1_hpv16_e6_bcell_epitope_model_2_pose_27",,,,,,,,,
"docking_8WO1_TLR4_with_fold_peptide1_hpv16_e6_bcell_epitope_model_2_pose_28",,,,,,,,,
"docking_8WO1_TLR4_with_fold_peptide1_hpv16_e6_bcell_epitope_model_2_pose_29",,,,,,,,,
"docking_8WO1_TLR4_with_fold_peptide1_hpv16_e6_bcell_epitope_model_2_pose_30",,,,,,,,,
"pose1",,,,,,,,,
"pose2",,,,,,,,,
"pose3",,,,,,,,,
"pose4",,,,,,,,,
"pose5",,,,,,,,,
"pose6",,,,,,,,,
"pose7",,,,,,,,,
"pose8",,,,,,,,,
"pose9",,,,,,,,,
"pose10",,,,,,,,,
"pose11",,,,,,,,,
"pose12",,,,,,,,,
"pose13",,,,,,,,,
"pose14",,,,,,,,,
"pose15",,,,,,,,,
"pose16",,,,,,,,,
"pose17",,,,,,,,,
"pose18",,,,,,,,,
"pose19",,,,,,,,,
"pose20",,,,,,,,,
"pose21",,,,,,,,,
"pose22",,,,,,,,,
"pose23",,,,,,,,,
"pose24",,,,,,,,,
"pose25",,,,,,,,,
"pose26",,,,,,,,,
"pose27",,,,,,,,,
"pose28",,,,,,,,,
"pose29",,,,,,,,,
"pose30",,,,,,,,,
"pose26",-42.04,-117.20,12.84,-1.43,-12.10,-1.88,0.00,133.73,-55.99
"pose1",-33.06,-27.67,19.58,-5.69,-28.28,-3.16,0.00,90.55,-78.40
"pose25",-32.21,-13.23,2.93,-1.39,-15.00,-2.40,0.00,64.64,-67.76
"pose22",-28.80,-83.48,25.63,-3.12,-14.65,-1.63,0.00,118.98,-70.53
"pose14",-25.07,-36.94,12.62,-2.41,-22.06,-1.43,0.00,90.41,-65.26
"pose27",-25.02,-138.49,11.60,-4.36,-10.13,-0.68,0.00,161.71,-44.67
"pose18",-11.93,-120.58,9.96,-5.12,-13.16,-1.29,0.00,177.72,-59.46
"pose11",-9.79,-71.16,5.28,-0.48,-8.10,-0.27,0.00,103.27,-38.33
"pose16",-9.46,-79.45,26.28,-3.02,-18.82,-1.32,0.00,81.09,-14.23
"pose7",-8.63,-33.31,21.04,-1.02,-16.50,0.05,0.00,69.30,-48.19
"pose23",-5.28,191.41,5.39,-5.25,-13.86,-0.94,0.00,-120.92,-61.12
"pose4",-3.46,6.66,-0.71,0.52,-9.21,1.92,0.00,47.72,-50.36
"pose15",-2.74,-168.42,43.84,-6.80,-22.25,-0.36,0.00,177.87,-26.62
"pose19",-2.52,76.53,-3.09,3.03,-9.06,-0.64,0.00,-22.80,-46.49
"pose20",-1.48,24.60,18.35,-0.88,-20.58,-1.81,0.00,42.38,-63.52
"pose21",-0.54,-55.57,31.31,-5.49,-18.72,1.32,0.00,111.69,-65.08
"pose30",0.94,196.74,23.66,-3.78,-10.75,-0.38,0.00,-140.82,-63.73
"pose9",4.18,-100.47,13.41,1.54,-7.36,-2.60,0.00,149.97,-50.31
"pose28",4.83,-163.48,10.82,-1.97,-16.10,-0.49,0.00,229.85,-53.80
"pose13",16.51,-119.88,18.18,-2.38,-8.78,-0.09,0.00,181.86,-52.39
"pose5",19.18,-97.68,23.68,-1.15,-13.85,-2.66,0.00,140.84,-30.00
"pose2",33.27,-16.55,7.64,-1.43,-9.04,-2.89,0.00,111.72,-56.18
"pose6",68.96,-42.63,26.49,-0.39,-16.86,-1.84,0.00,72.64,31.55
"pose17",105.13,-2.35,30.23,-0.94,-15.27,-4.78,0.00,94.96,3.28
"pose3",158.39,-87.47,47.66,-1.89,-13.77,-3.52,0.00,125.77,91.62
"pose12",220.24,70.59,135.11,-1.61,-15.93,-2.64,0.00,-39.39,74.10
"pose10",483.19,6.26,229.76,-2.18,-16.40,-1.70,0.00,-5.60,273.05
"pose8",975.59,249.88,423.23,0.57,-11.54,-1.34,0.00,-168.04,482.82
"pose24",1139.19,127.49,625.03,-4.91,-20.84,-0.68,0.00,-56.79,469.89
"pose29",1936.67,-96.82,921.03,-4.13,-25.40,-2.87,0.00,144.99,999.87
"docking_8WO1_TLR4_with_fold_peptide1_hpv16_e6_bcell_epitope_model_2_pose_1",,,,,,,,,
