"frame","MMGBSA dG Bind","MMGBSA dG Bind Coulomb","MMGBSA dG Bind Covalent","MMGBSA dG Bind Hbond","MMGBSA dG Bind Lipo","MMGBSA dG Bind Packing","MMGBSA dG Bind SelfCont","MMGBSA dG Bind Solv GB","MMGBSA dG Bind vdW"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,-56.91,-19.15,1.58,-1.97,-24.27,-3.53,-0.00,41.88,-51.44
,-48.12,-29.02,7.00,-2.11,-19.96,0.53,-0.07,69.03,-73.53
,-39.30,-1.96,12.05,-2.98,-9.78,0.75,0.01,41.85,-79.24
,-35.80,-24.28,5.36,-0.93,-26.55,-3.37,0.03,58.42,-44.47
,-28.75,-76.17,16.19,-3.80,-25.97,-3.27,-0.13,121.54,-57.13
,-27.43,-53.83,10.35,-4.82,-18.85,-1.51,-0.09,130.21,-88.91
,-26.55,63.01,15.76,-1.80,-15.21,-2.35,0.05,-12.09,-73.92
,-24.43,119.14,9.13,-3.13,-25.79,-3.29,-0.00,-56.74,-63.75
,-23.14,-38.13,-2.04,-3.53,-13.69,-0.49,-0.03,82.26,-47.50
,-22.29,-60.28,10.65,-2.93,-15.00,-4.04,0.02,105.63,-56.33
,-22.27,63.09,3.44,-3.20,-15.71,-0.74,-0.20,-15.89,-53.06
,-19.53,69.52,2.74,-2.21,-25.59,-0.66,-0.13,0.64,-63.83
,-8.04,124.46,11.74,-3.17,-22.14,-2.55,-0.17,-31.42,-84.79
,-4.89,-32.99,7.62,-3.52,-10.77,-0.63,-0.09,79.83,-44.34
,-4.20,68.09,10.18,-0.36,-19.17,-4.03,-0.09,5.61,-64.42
,-1.84,-118.78,15.71,-2.98,-12.31,0.25,-0.00,171.00,-54.73
,1.26,-48.62,17.18,-3.39,-12.65,-1.28,0.04,114.09,-64.10
,2.26,-30.56,12.31,-0.23,-20.09,0.06,-0.01,112.15,-71.37
,3.65,19.26,13.33,-0.90,-15.93,-6.01,-0.05,60.77,-66.82
,7.13,83.15,20.83,-1.79,-14.83,-1.04,-0.14,-19.20,-59.84
,8.94,-36.96,9.60,-2.89,-17.91,-1.57,-0.01,103.23,-44.56
,15.67,43.92,19.44,-5.05,-14.76,-1.61,0.01,44.01,-70.29
,22.15,12.80,30.95,-1.80,-21.16,-0.90,0.08,61.88,-59.70
,63.16,107.27,24.02,-2.50,-19.28,-1.21,0.03,12.85,-58.02
,149.42,-23.17,23.62,-1.80,-25.60,-3.00,-0.08,106.58,72.87
,198.07,-29.99,88.14,-3.04,-23.83,1.60,0.03,76.24,88.94
,210.90,4.79,97.41,-2.18,-26.31,-3.67,-0.05,65.34,75.58
,586.58,43.46,208.50,-2.73,-31.34,-0.65,0.00,47.61,321.72
,1102.16,13.66,348.21,-2.50,-25.79,-4.28,-0.15,18.16,754.86
,4384.16,20.04,2860.55,0.24,-18.11,-1.95,-0.15,135.51,1388.03
,,,,,,,,,
