"MMGBSA dG Bind","MMGBSA dG Bind Coulomb","MMGBSA dG Bind Covalent","MMGBSA dG Bind Hbond","MMGBSA dG Bind Lipo","MMGBSA dG Bind Packing","MMGBSA dG Bind SelfCont","MMGBSA dG Bind Solv GB","MMGBSA dG Bind vdW","frame"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,3801
,,,,,,,,,3801
-48.92,57.02,-2.05,-1.97,-7.92,-2.79,-0.00,-51.16,-40.05,3801
-48.56,60.08,-1.17,-0.71,-9.81,-2.91,-0.00,-52.26,-41.77,3802
-56.03,37.74,5.27,-2.92,-12.64,-2.74,-0.00,-41.17,-39.57,3803
-49.17,56.59,2.83,-2.33,-10.51,-2.76,-0.00,-52.18,-40.81,3804
-43.64,58.62,-6.80,-1.76,-4.28,-2.31,-0.00,-53.81,-33.29,3805
-50.55,38.05,-3.25,-4.10,-6.70,-2.73,-0.00,-37.02,-34.81,3806
-46.28,42.95,1.76,-3.03,-10.55,-2.79,-0.00,-30.68,-43.94,3807
-51.59,37.70,3.43,-3.40,-8.18,-2.08,-0.00,-31.35,-47.73,3808
-59.76,33.40,3.79,-3.45,-12.37,-2.93,-0.00,-27.69,-50.51,3809
-49.40,47.19,1.41,-3.79,-11.54,-2.58,-0.00,-30.54,-49.55,3810
-51.20,38.24,4.06,-3.28,-10.61,-2.95,-0.00,-27.15,-49.52,3811
-37.31,55.55,2.27,-0.86,-10.16,-2.79,-0.00,-44.93,-36.40,3812
-41.50,56.17,4.31,-0.60,-9.35,-2.83,-0.00,-49.23,-39.97,3813
-49.13,33.63,9.31,-1.55,-11.18,-2.82,-0.00,-36.17,-40.34,3814
-48.86,46.41,5.79,-2.24,-8.96,-2.90,-0.00,-43.48,-43.48,3815
-40.89,54.35,-4.66,-1.24,-8.58,-2.73,-0.00,-42.91,-35.11,3816
-29.60,47.90,1.44,-0.73,-7.09,-2.77,-0.00,-38.23,-30.12,3817
-31.12,76.87,-1.94,0.80,-5.38,-2.13,-0.00,-56.55,-42.79,3818
-40.10,45.15,11.52,-2.46,-9.63,-3.09,-0.00,-35.78,-45.80,3819
543.46,59.53,94.41,-1.15,-15.21,-2.95,-0.00,-39.15,447.99,3820
-46.48,38.69,10.37,-2.35,-11.57,-3.08,-0.00,-29.20,-49.34,3821
-40.93,53.03,5.32,-2.53,-9.61,-3.13,-0.00,-31.09,-52.92,3822
-44.88,38.00,0.74,-3.08,-8.45,-3.03,-0.00,-30.69,-38.37,3823
-37.99,52.08,8.18,-1.66,-11.29,-3.05,-0.00,-34.45,-47.79,3824
-35.66,42.46,4.49,-1.38,-3.47,-2.75,-0.00,-45.05,-29.95,3825
-41.00,49.58,-1.88,-1.28,-6.83,-2.44,-0.00,-36.35,-41.80,3826
-45.78,41.49,5.44,-2.23,-10.43,-2.91,-0.00,-25.86,-51.27,3827
-35.72,48.41,6.22,-0.74,-8.21,-2.87,-0.00,-38.00,-40.53,3828
-47.09,37.91,6.25,-2.45,-9.06,-2.94,-0.00,-40.01,-36.80,3829
