"frame","MMGBSA dG Bind","MMGBSA dG Bind Coulomb","MMGBSA dG Bind Covalent","MMGBSA dG Bind Hbond","MMGBSA dG Bind Lipo","MMGBSA dG Bind Packing","MMGBSA dG Bind SelfCont","MMGBSA dG Bind Solv GB","MMGBSA dG Bind vdW"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
1,,,,,,,,,
3801,,,,,,,,,
3801,-46.37,19.89,6.28,-1.01,-16.00,-3.14,0.00,-12.35,-40.06
3802,-37.35,4.16,0.35,-1.71,-8.76,-3.00,0.00,7.48,-35.87
3803,-38.95,37.18,10.38,-0.42,-16.01,-2.53,0.00,-35.99,-31.56
3804,-44.54,-23.20,8.83,-2.77,-13.61,-0.52,0.00,12.37,-25.64
3805,-42.80,27.02,4.72,-1.27,-15.06,-2.47,0.00,-23.80,-31.95
3806,-51.05,-14.59,11.93,-4.17,-13.31,-3.89,0.00,7.06,-34.09
3807,-20.55,37.62,2.05,-0.93,-7.37,-2.34,0.00,-28.64,-20.94
3808,-42.25,-13.73,10.80,-3.39,-12.23,-4.02,0.00,5.30,-24.99
3809,-18.95,42.04,0.04,-0.39,-6.31,-2.09,0.00,-24.68,-27.57
3810,-50.09,44.90,3.95,-1.63,-14.45,-2.88,0.00,-24.43,-55.55
3811,-15.14,33.06,3.76,-1.61,-4.86,-2.35,0.00,-24.39,-18.75
3812,-25.94,5.97,10.52,-2.76,-5.41,-0.97,0.00,-11.20,-22.08
3813,-19.63,7.23,1.19,-2.73,-2.56,-1.99,0.00,-7.05,-13.72
3814,-27.84,27.06,7.00,-1.94,-8.14,-4.10,0.00,-19.57,-28.14
3815,-20.14,20.10,26.12,-2.02,-12.31,-5.57,0.00,-5.77,-40.67
3816,-36.72,35.62,3.47,0.11,-13.28,-6.67,0.00,-15.68,-40.29
3817,-33.12,11.50,1.92,-1.68,-7.29,-2.51,0.00,-12.00,-23.06
3818,-23.42,20.64,3.70,-0.63,-7.26,-2.39,0.00,-11.98,-25.49
3819,-32.54,21.93,1.43,-1.57,-7.75,-2.52,0.00,-17.84,-26.24
3820,-23.22,32.65,1.00,-0.13,-8.81,-3.50,0.00,-18.51,-25.90
3821,-33.18,26.96,0.83,0.77,-12.22,-0.42,0.00,-20.29,-28.80
3822,-22.71,31.06,0.83,-0.70,-6.41,-0.67,0.00,-18.27,-28.54
3823,-53.09,28.40,7.68,-2.92,-15.32,-4.02,0.00,-27.29,-39.62
3824,-48.47,32.46,13.64,-1.75,-18.22,-2.92,0.00,-22.57,-49.11
3825,-35.24,40.27,6.14,-3.35,-10.38,-3.88,0.00,-28.26,-35.79
3826,-42.89,18.71,7.46,-3.05,-12.41,-5.16,0.00,-14.58,-33.85
3827,-54.50,-0.90,8.53,-2.93,-17.99,-5.51,0.00,1.54,-37.23
3828,-22.32,27.36,2.61,-0.28,-8.12,-2.64,0.00,-15.00,-26.26
3829,-22.56,32.64,7.27,-0.27,-9.71,-5.97,0.00,-13.69,-32.82
3830,-28.97,47.43,3.27,-0.61,-9.73,-4.17,0.00,-32.90,-32.27
