"frame","MMGBSA dG Bind","MMGBSA dG Bind Coulomb","MMGBSA dG Bind Covalent","MMGBSA dG Bind Hbond","MMGBSA dG Bind Lipo","MMGBSA dG Bind Packing","MMGBSA dG Bind SelfCont","MMGBSA dG Bind Solv GB","MMGBSA dG Bind vdW"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
3801,,,,,,,,,
3801,,,,,,,,,
3801,-55.22,7.99,8.35,-3.59,-13.51,-0.92,0.00,-0.37,-53.17
3802,-58.65,6.28,8.13,-3.68,-14.75,-0.23,0.00,2.14,-56.55
3803,-66.84,-3.26,11.59,-3.45,-15.25,-0.48,0.00,5.89,-61.89
3804,-68.45,4.60,13.44,-4.56,-15.52,-2.25,0.00,-4.22,-59.95
3805,-49.27,24.95,6.33,-1.33,-10.93,-3.25,0.00,-4.60,-60.44
3806,-61.21,7.87,11.56,-4.65,-13.55,-0.41,0.00,-6.28,-55.76
3807,-49.28,21.79,12.18,-1.93,-11.82,-0.85,0.00,-12.56,-56.08
3808,-54.68,30.68,10.48,-2.33,-15.34,-2.70,0.00,-10.48,-64.97
3809,-48.64,26.14,8.03,-2.12,-12.89,-0.14,0.00,-11.33,-56.33
3810,-51.18,19.82,9.80,-1.95,-12.68,-0.23,0.00,-7.48,-58.46
3811,-61.89,10.79,11.80,-2.97,-15.84,-0.53,0.00,-2.52,-62.62
3812,-60.90,5.10,15.84,-2.56,-15.58,-0.54,0.00,-3.96,-59.20
3813,-55.49,1.18,10.49,-1.33,-15.35,-0.77,0.00,9.63,-59.35
3814,-49.69,8.77,8.54,-1.82,-13.49,-0.77,0.00,5.92,-56.84
3815,-44.21,-6.84,17.24,-2.60,-11.97,-0.72,0.00,17.77,-57.08
3816,-66.61,6.55,7.54,-4.41,-15.27,-1.22,0.00,-1.26,-58.54
3817,-55.89,20.63,11.24,-4.36,-14.52,-1.62,0.00,-4.95,-62.32
3818,-44.27,19.41,13.26,-2.44,-13.89,-1.73,0.00,1.14,-60.01
3819,-61.22,5.55,8.08,-3.32,-13.83,-0.40,0.00,0.26,-57.56
3820,-50.39,16.66,15.99,-2.09,-12.77,-3.38,0.00,-5.88,-58.93
3821,-40.39,7.55,10.53,-1.85,-10.50,1.49,0.00,0.45,-48.07
3822,-59.79,22.68,6.47,-3.85,-13.80,0.39,0.00,-18.34,-53.34
3823,-60.61,15.13,13.43,-2.83,-14.52,-1.01,0.00,-11.25,-59.55
3824,-57.35,23.55,10.20,-3.68,-12.88,-2.20,0.00,-17.56,-54.78
3825,-57.66,16.52,10.62,-3.91,-14.16,-4.24,0.00,0.49,-62.99
3826,-42.81,5.37,7.43,-2.85,-13.29,1.83,0.00,13.48,-54.77
3827,-60.91,17.70,10.72,-3.79,-15.54,0.66,0.00,-10.78,-59.89
3828,-55.12,47.27,10.60,-2.41,-13.84,-3.40,0.00,-29.22,-64.11
3829,-52.60,16.70,3.14,-1.65,-12.98,0.01,0.00,-9.59,-48.22
3830,-64.68,9.42,9.98,-4.32,-14.65,-0.93,0.00,-8.01,-56.16
3831,-55.74,18.69,13.71,-3.86,-14.56,-1.28,0.00,-10.96,-57.49
