Frame,Time (ns),Radius of Gyration
1,0.0,9.272706938338038
2,0.100002,9.248037270258513
3,0.200004,9.333896819301051
4,0.30000600000000005,9.561549733524377
5,0.400008,9.498340545229276
6,0.50001,9.42018045130661
7,0.6000120000000001,9.402175987764974
8,0.700014,9.134035003295834
9,0.800016,9.321639535698925
10,0.900018,9.410161463525816
11,1.00002,9.253290204547326
12,1.1000219999999998,9.386310981184657
13,1.2000240000000002,9.577135606917702
14,1.3000260000000001,9.37565236369153
15,1.400028,9.55035610654509
16,1.50003,9.358296504175803
17,1.600032,9.5849897090592
18,1.700034,9.852824988953621
19,1.800036,9.619548593138163
20,1.9000380000000001,9.547316730120164
21,2.00004,9.321481576497957
22,2.1000419999999997,9.20795048373927
23,2.2000439999999997,9.442638122748914
24,2.300046,9.10062525826346
25,2.4000480000000004,9.523996807436605
26,2.5000500000000003,9.194741895231461
27,2.6000520000000003,9.254964166077338
28,2.700054,9.137400864676437
29,2.800056,9.281619934670298
30,2.900058,9.104715645442687
31,3.00006,9.083391566471409
32,3.100062,9.358459454368472
33,3.200064,9.283891000740034
34,3.300066,9.088303105711868
35,3.400068,9.352054015143919
36,3.50007,9.15880536672204
37,3.600072,9.026964067554253
38,3.700074,9.505605997948454
39,3.8000760000000002,9.161284321001032
40,3.900078,8.798009001342264
41,4.00008,8.908870656205483
42,4.1000820000000004,9.021773281861263
43,4.2000839999999995,8.990347533497967
44,4.300086,8.767997788410138
45,4.400087999999999,8.764676773285313
46,4.50009,9.06948251607947
47,4.600092,8.774134617788715
48,4.700094,8.935495005143462
49,4.800096000000001,8.94690052637485
50,4.900098,9.207920399295748
51,5.000100000000001,8.883918941567039
52,5.100102,8.75790406830443
53,5.2001040000000005,8.929042684748929
54,5.3001059999999995,8.98914091539626
55,5.400108,8.869303675249183
56,5.500109999999999,8.85596817101421
57,5.600112,9.013269430043344
58,5.700114,9.023969781782785
59,5.800116,9.042076411486502
60,5.900118,8.66118841810185
61,6.00012,8.90640909866268
62,6.100122000000001,9.108605002205575
63,6.200124,8.733745066589346
64,6.300126000000001,8.798626774326259
65,6.400128,8.698480350915528
66,6.50013,8.984371818030255
67,6.600132,8.894701947983643
68,6.700134,8.971061459059005
69,6.800136,8.74802013530782
70,6.900138,8.755430355912832
71,7.00014,8.987944186551715
72,7.100142,8.875685565960817
73,7.200144,9.036988060333053
74,7.300146,8.699251158954015
75,7.400148,8.740423914366545
76,7.5001500000000005,8.999854147860928
77,7.6001520000000005,8.86914110379065
78,7.700154,8.854782734376514
79,7.800156,8.926257011725516
80,7.900158,8.89311724343788
81,8.00016,8.934735488340706
82,8.100162000000001,8.704050061489061
83,8.200164000000001,8.911286012281534
84,8.300166,8.79806423722849
85,8.400167999999999,9.034216506564912
86,8.50017,8.874396844415442
87,8.600172,9.035392118745634
88,8.700174,9.013652109926834
89,8.800175999999999,9.235128573194174
90,8.900178,9.274680232465188
91,9.00018,9.057457744607763
92,9.100182,8.806134492703226
93,9.200184,8.961257578361264
94,9.300186,9.266252760123706
95,9.400188,9.377468608640092
96,9.50019,9.087746630600178
97,9.600192000000002,9.100765170332963
98,9.700194,8.973959639715865
99,9.800196,9.035522384752397
100,9.900198,8.985982279704201
101,10.000200000000001,9.037236543024736
102,10.100202,8.990710015590366
103,10.200204,9.03770890349984
104,10.300206,9.335678893916501
105,10.400208000000001,9.305319240919573
106,10.500210000000001,9.08867540610805
107,10.600211999999999,9.071776623577863
108,10.700214,9.330537970699222
109,10.800216,9.108407120978374
110,10.900218,9.356742252171948
111,11.000219999999999,9.17001622745182
112,11.100222,9.231829981801912
113,11.200224,8.6650280681158
114,11.300226,8.898977233553051
115,11.400228,8.965542801579238
116,11.50023,8.921012371762293
117,11.600232,9.1871779235501
118,11.700234,8.955522397223307
119,11.800236,9.301787019580946
120,11.900238,9.36242243278181
121,12.00024,9.326270188664672
122,12.100242,9.213402000475334
123,12.200244000000001,9.382615883153203
124,12.300246000000001,9.369017701408373
125,12.400248,9.727468174463178
126,12.50025,9.64799418271551
127,12.600252000000001,9.687289714180817
128,12.700254000000001,9.504832556594062
129,12.800256,9.722014183644228
130,12.900258,9.177554654385625
131,13.00026,9.184072744824721
132,13.100262,9.212605868104133
133,13.200264,9.3360985795754
134,13.300265999999999,9.72250647495379
135,13.400268,9.300149378630676
136,13.50027,9.29242724330355
137,13.600272,9.719372822026967
138,13.700274,9.437783002762902
139,13.800276,9.611631318384095
140,13.900278,9.482783423994322
141,14.00028,9.643280331145986
142,14.100282000000002,9.411547030024117
143,14.200284,9.260944176475471
144,14.300286,9.452809594871741
145,14.400288,9.591722437561483
146,14.500290000000001,9.415775347489834
147,14.600292,9.45259783614075
148,14.700294,9.48475265178611
149,14.800296,9.439289467538838
150,14.900298000000001,9.6132215178846
151,15.000300000000001,9.734480820655577
152,15.100302,9.41989749424025
153,15.200304000000001,9.50152018658194
154,15.300306,9.701614751073963
155,15.400308,9.444498725265401
156,15.500309999999999,9.671735804105502
157,15.600312,9.744514057968306
158,15.700314,9.33534003312658
159,15.800316,9.21454947692997
160,15.900318,9.48047653603347
161,16.00032,9.471145865185031
162,16.100322,9.571129620752286
163,16.200324000000002,9.76395793287452
164,16.300326000000002,9.699269985160246
165,16.400328000000002,9.687881246536739
166,16.50033,9.1793396445207
167,16.600332,9.155152717861643
168,16.700333999999998,9.38952961298725
169,16.800335999999998,9.324398273982524
170,16.900338,9.14977825617882
171,17.00034,9.247054426232822
172,17.100342,9.24092139350662
173,17.200344,9.607106430298362
174,17.300346,9.418743197294502
175,17.400348,9.321349176835668
176,17.50035,9.549154469189098
177,17.600351999999997,9.3765438886285
178,17.700354,9.444796890376567
179,17.800356,9.472341869762891
180,17.900358,9.686682097790946
181,18.00036,9.589271185060252
182,18.100362,9.150485519166477
183,18.200364,9.21158194478586
184,18.300366,9.299299293169753
185,18.400368,9.277918737378156
186,18.50037,9.493209434525653
187,18.600372,9.314288442679285
188,18.700374,9.315276533524843
189,18.800376,9.023173319187064
190,18.900378,9.31671337171914
191,19.00038,9.105568482513064
192,19.100382,9.060079160209536
193,19.200384000000003,9.415787112532707
194,19.300386,9.132050782203878
195,19.400388,9.356410807334344
196,19.50039,9.032264804765566
197,19.600392,9.45034358005868
198,19.700394,9.495467020084076
199,19.800396,9.249102275077853
200,19.900398000000003,9.430072115671877
201,20.000400000000003,9.575201627536082
202,20.100402000000003,9.520235753914577
203,20.200404,9.42479734565309
204,20.300406,9.5739474457589
205,20.400408,9.571475821224299
206,20.50041,9.390698828826137
207,20.600412,9.408246253048345
208,20.700414000000002,9.464617820142015
209,20.800416000000002,9.258702705660323
210,20.900418000000002,9.768456589225211
211,21.000420000000002,9.398434597724808
212,21.100422,9.466769323582625
213,21.200423999999998,9.769964175637673
214,21.300425999999998,9.61157431103326
215,21.400428,9.646076711436043
216,21.50043,9.329494841311908
217,21.600432,9.616632086714302
218,21.700434,9.585053852373635
219,21.800436,9.547663818879752
220,21.900438,9.40146017456757
221,22.000439999999998,9.108782659070693
222,22.100441999999997,9.262424911509664
223,22.200444,9.174657144097349
224,22.300446,9.43574542740483
225,22.400448,9.116029656545138
226,22.50045,9.446488470733172
227,22.600452,9.216562702893018
228,22.700454,9.048726099253875
229,22.800456,8.89681533146701
230,22.900458,9.181829293830868
231,23.00046,9.777484402165726
232,23.100462,9.888639197208933
233,23.200464,9.829795181105279
234,23.300466,9.503416750133319
235,23.400468,9.25247115814355
236,23.50047,9.377611322088665
237,23.600472,9.16511220311589
238,23.700474000000003,9.203127584407577
239,23.800476,9.732779804078373
240,23.900478,9.766512320056627
241,24.00048,9.375761847422254
242,24.100482,9.202120909362062
243,24.200484,9.416357033051133
244,24.300486,9.694912877456568
245,24.400488000000003,9.373136757308249
246,24.500490000000003,9.743149062573377
247,24.600492000000003,9.52170492917305
248,24.700494,9.333748655659186
249,24.800496,9.353236379155867
250,24.900498,9.099638778575398
251,25.0005,9.400686666011685
252,25.100502,9.196601103935752
253,25.200504000000002,9.390334752610901
254,25.300506000000002,9.251158162751667
255,25.400508000000002,9.271924659702533
256,25.500510000000002,9.321660325549042
257,25.600512,9.27547306952641
258,25.700514,9.43321281154506
259,25.800516,9.005720224131805
260,25.900518,9.383880027824116
261,26.00052,9.434972279764187
262,26.100522,9.541488216362067
263,26.200524,9.412350238034126
264,26.300526,9.365604299508822
265,26.400528,9.595079506876832
266,26.500529999999998,9.223323799003866
267,26.600531999999998,9.365072166563563
268,26.700534,9.42717042411932
269,26.800536,9.231944841821027
270,26.900538,9.633671174320968
271,27.00054,9.576815634940317
272,27.100542,9.758555713197882
273,27.200544,9.50657021348324
274,27.300546,9.576025739515618
275,27.400548,9.497753463917563
276,27.50055,9.618852048636612
277,27.600552,9.640734064008136
278,27.700554,9.567485259331074
279,27.800556,9.743075058611273
280,27.900558,9.451955736301553
281,28.00056,9.508666625302782
282,28.100562,9.840909586295375
283,28.200564000000004,9.467906069918994
284,28.300566,9.84743247574127
285,28.400568,9.155913361482106
286,28.50057,9.662052783792848
287,28.600572,9.547374452619175
288,28.700574,9.807293591245097
289,28.800576,9.434618539268529
290,28.900578000000003,9.603430135209848
291,29.000580000000003,9.432952318119915
292,29.100582000000003,9.559984003669372
293,29.200584,9.541018770939635
294,29.300586,9.295528459925801
295,29.400588,9.66109796757247
296,29.50059,9.571959902040154
297,29.600592,9.172378858443569
298,29.700594000000002,9.281158166219669
299,29.800596000000002,9.244246518115833
300,29.900598000000002,9.19853401479543
301,30.000600000000002,9.546097694148223
302,30.100602,9.394351133794116
303,30.200604,9.284300255188068
304,30.300606,9.684163243858848
305,30.400608000000002,9.356037565007238
306,30.50061,9.000652958025082
307,30.600612,9.266114048509225
308,30.700614,9.507167109945266
309,30.800616,9.400929601940687
310,30.900618,9.725074590689761
311,31.000619999999998,9.543916982176905
312,31.100621999999998,9.90119665660156
313,31.200624,9.65830398729826
314,31.300626,9.437104229604707
315,31.400628,9.340741312185429
316,31.50063,9.323734067985889
317,31.600632,9.507578923278441
318,31.700634,9.439687620655034
319,31.800636,9.551197359256463
320,31.900638,9.395519050448383
321,32.00064,9.399108148623055
322,32.100642,9.234029625485963
323,32.200644,8.76859817859402
324,32.300646,9.289385803727749
325,32.400648000000004,9.501390534520413
326,32.50065,9.30153745820594
327,32.600652000000004,9.836927164528618
328,32.700654,9.601634594919737
329,32.800656000000004,9.84194987427464
330,32.900658,9.843941262899412
331,33.00066,9.756684949493089
332,33.10066200000001,9.479747152092184
333,33.200664,9.722025291072482
334,33.300666,9.737994263572224
335,33.400667999999996,9.58532404325292
336,33.50067,9.663507064266383
337,33.600671999999996,9.735672376251127
338,33.700674,9.515371700496704
339,33.800676,9.36730322012462
340,33.900678,9.755661765795814
341,34.00068,9.819091167443645
342,34.100682,9.385993798319594
343,34.200684,9.63545971691341
344,34.300686,9.410345630121478
345,34.400688,9.183475202141961
346,34.500690000000006,9.080938290953446
347,34.600692,9.371049090077433
348,34.700694000000006,9.667217569914037
349,34.800696,9.302582258834486
350,34.900698000000006,9.23148384613453
351,35.0007,9.588677632442119
352,35.100702,9.38533886434006
353,35.200703999999995,9.232633719567415
354,35.300706,9.151350257377844
355,35.400708,9.483205394982404
356,35.50071,9.508055946433158
