"MMGBSA dG Bind","MMGBSA dG Bind Coulomb","MMGBSA dG Bind Covalent","MMGBSA dG Bind Hbond","MMGBSA dG Bind Lipo","MMGBSA dG Bind Packing","MMGBSA dG Bind SelfCont","MMGBSA dG Bind Solv GB","MMGBSA dG Bind vdW","frame"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
95.93,43.52,81.42,-2.33,-32.09,-3.58,-0.00,-19.27,28.28,
-39.26,42.75,4.36,-2.88,-14.86,-2.53,-0.00,-23.06,-43.04,
-13.53,-1.43,23.76,-3.28,-12.63,-2.27,-0.00,3.51,-21.20,
-44.68,52.23,-0.44,-0.53,-19.34,-5.05,-0.00,-35.70,-35.84,
-13.18,84.46,18.56,-1.71,-24.61,-3.90,-0.00,-36.65,-49.33,
