"MMGBSA dG Bind","MMGBSA dG Bind Coulomb","MMGBSA dG Bind Covalent","MMGBSA dG Bind Hbond","MMGBSA dG Bind Lipo","MMGBSA dG Bind Packing","MMGBSA dG Bind SelfCont","MMGBSA dG Bind Solv GB","MMGBSA dG Bind vdW","frame"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
307.92,34.70,120.92,-3.38,-29.15,-4.00,-0.00,4.97,183.86,
7383.71,1.81,1803.12,-0.90,-10.66,-0.55,-0.00,19.00,5571.88,
279.07,21.91,121.35,-1.89,-18.46,0.31,-0.00,16.58,139.27,
-31.20,6.67,12.54,-5.17,-15.48,-7.61,-0.00,20.71,-42.87,
-26.01,42.72,18.69,-1.18,-19.56,0.04,-0.00,-19.11,-47.61,
