"MMGBSA dG Bind","MMGBSA dG Bind Coulomb","MMGBSA dG Bind Covalent","MMGBSA dG Bind Hbond","MMGBSA dG Bind Lipo","MMGBSA dG Bind Packing","MMGBSA dG Bind SelfCont","MMGBSA dG Bind Solv GB","MMGBSA dG Bind vdW","frame"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
-41.06,50.24,16.11,-3.05,-23.50,-0.08,-0.00,-13.99,-66.79,
-52.29,32.17,14.48,-1.99,-21.60,-1.43,-0.00,-9.83,-64.09,
-36.34,61.60,22.46,-0.57,-18.48,-0.06,-0.00,-31.62,-69.67,
244.56,55.64,90.30,-1.24,-19.70,-1.65,-0.00,-21.33,142.53,
227.90,31.19,112.46,-4.60,-27.47,-0.90,-0.00,-4.52,121.74,
-2.55,46.77,25.94,-1.95,-22.13,-0.00,-0.00,-17.36,-33.82,
496.35,53.18,232.78,-0.93,-26.34,-2.21,-0.00,-21.23,261.09,
-63.96,10.56,7.33,-2.33,-17.94,-0.00,-0.00,-7.39,-54.18,
-38.23,54.32,7.70,-0.41,-15.78,-0.27,-0.00,-24.02,-59.78,
-48.13,32.14,10.29,-2.37,-20.05,-0.74,-0.00,-1.18,-66.23,
